P_inst (ln_comp_coarse=3e-07) X,P_inst (ln_comp_coarse=3e-07) Y
1.060237943141831e-06,4.617069392482748e-05
1.060249195811165e-06,4.645481717776227e-05
1.060260513389021e-06,4.940672595499418e-05
1.060268489929689e-06,5.987158503863383e-05
1.060277430477111e-06,7.751187202854503e-05
1.060284108782201e-06,8.648524827045963e-05
1.060292499493181e-06,0.0001129081860643566
1.060294679619562e-06,0.0001432418692635433
1.060296432565471e-06,0.0001797836676628946
1.060297968215998e-06,0.0002181216450091038
1.060299580309465e-06,0.000258968338481682
1.060301290489953e-06,0.0002963905762434637
1.060303853056571e-06,0.0003324186552721796
1.060306035130896e-06,0.0003443705733473937
1.060307032141142e-06,0.0003502505843778538
1.060308074693321e-06,0.0003625715048794259
1.060309179267562e-06,0.0003788330992589204
1.0603103642635e-06,0.0003946923925104142
1.06031137965147e-06,0.0004054734505687085
1.06031262614026e-06,0.0004149622800188487
1.060314603514454e-06,0.0004221566212479994
1.060317935399884e-06,0.000416626156789528
1.060323853537013e-06,0.0003729821739834701
1.060328853736823e-06,0.0003184341928500718
1.060334125089834e-06,0.0002534842254816767
1.060339602788654e-06,0.0001845220331835066
1.060344255788677e-06,0.0001421780466995916
1.060349018883359e-06,0.0001211411258522063
1.060353534135581e-06,0.0001131968437803352
1.060359699939424e-06,0.000109216024830015
1.060365231796362e-06,0.0001081945567607642
1.060372815490248e-06,0.0001077502414475792
1.060382657764236e-06,0.0001074877854256679
1.06039987642482e-06,0.0001070737627128068
1.06042825359012e-06,0.0001063622673963598
1.06046412679506e-06,0.0001054766776331169
1.0605e-06,0.0001045941900792752
1.060509339614407e-06,0.0001043631039115494
1.060525862366821e-06,0.0001039590754538276
1.06054094969085e-06,0.0001035889135705785
1.060571124338907e-06,0.0001028489804514878
1.060631473635022e-06,0.0001013778196455146
1.060752172227251e-06,9.8450865227413e-05
1.060993569411709e-06,9.267595175276418e-05
1.061304835605937e-06,8.555228808235285e-05
1.061443422593612e-06,8.31055879583872e-05
1.061522893584811e-06,8.250667525289262e-05
1.061599124602596e-06,8.291224836979501e-05
1.061691415585736e-06,8.442756131826525e-05
1.061765655180992e-06,8.55656825513504e-05
1.061842764056061e-06,0.0001179257325141889
1.061858084901829e-06,0.0001376672999090017
1.061864640891565e-06,0.0001434738328864171
1.061876950704535e-06,0.0001420606957397312
1.061888895690817e-06,0.0001320287543597956
1.06189409568217e-06,0.0001302821947369264
1.061896861653274e-06,0.0001305694021432982
1.061899340488963e-06,0.0001308907359233496
1.061901956282045e-06,0.0001302767048268796
1.061904708920964e-06,0.0001279751950180508
1.061907979877172e-06,0.000122921533842337
1.061910913683195e-06,0.0001168379448183517
1.061913546816605e-06,0.0001115796936626844
1.061915398648114e-06,0.000108860519231411
1.061917397019387e-06,0.000106785751417347
1.061919145786393e-06,0.0001052073678742064
1.061921007731126e-06,0.0001035823310883284
1.061923065240097e-06,0.0001018016729638099
1.061925924727174e-06,9.931865396815426e-05
1.061930435080708e-06,9.525297047997111e-05
1.06193852465022e-06,8.648279894137999e-05
1.061946127554063e-06,7.73977319591334e-05
1.061953367394871e-06,6.968011823682637e-05
1.061960763386574e-06,6.338225338141817e-05
1.061969603065962e-06,5.769304372221671e-05
1.061987282424739e-06,5.075114778401964e-05
1.062006956663065e-06,4.696089224561832e-05
1.062035739461199e-06,4.430790919971499e-05
1.062076171346302e-06,4.241277390276814e-05
1.062145388778464e-06,4.080525389661304e-05
1.06222146691931e-06,4.005409390637379e-05
1.062319985957754e-06,3.976935066409573e-05
