/r"out_DTC X,/out_DTC Y,/in_DTC X,/in_DTC Y,/V_ramp X,/V_ramp Y,/V_n X,/V_n Y,D X,D LogicBus
8.30302126672067e-07,-1.554349976764325e-05,8.303355486691998e-07,0.3617929277604879,8.30302126672067e-07,0.512492696474911,8.30302126672067e-07,0.6311610453881299,  ,  
8.30302301381118e-07,-1.614693778201717e-05,8.303355864498521e-07,0.3617098103252521,8.30302301381118e-07,0.5124903418383756,8.30302301381118e-07,0.6311609856323047,  ,  
8.303024896732424e-07,-1.681644250695261e-05,8.303356281858412e-07,0.3616179911492577,8.303024896732424e-07,0.5124877239231084,8.303024896732424e-07,0.631160921241939,  ,  
8.303026938418004e-07,-1.756060730325538e-05,8.303356779744828e-07,0.3615084561378866,8.303026938418004e-07,0.5124847952021774,8.303026938418004e-07,0.6311608514357058,  ,  
8.303029151265326e-07,-1.839592285490414e-05,8.3033573693254e-07,0.3613787484119145,8.303029151265326e-07,0.5124815106674584,8.303029151265326e-07,0.6311607757928012,  ,  
8.303031550818748e-07,-1.933283971574983e-05,8.303358050438784e-07,0.3612289034674641,8.303031550818748e-07,0.5124778202831507,8.303031550818748e-07,0.6311606937858754,  ,  
8.303034152816144e-07,-2.038642525070775e-05,8.303358864225951e-07,0.3610498702908,8.303034152816144e-07,0.5124736674271958,8.303034152816144e-07,0.631160604881649,  ,  
8.303036976392383e-07,-2.157410468657711e-05,8.303359872050995e-07,0.3608281487810446,8.303036976392383e-07,0.5124689842146597,8.303036976392383e-07,0.6311605084317783,  ,  
8.303040054019822e-07,-2.292676309006428e-05,8.303361132483724e-07,0.3605508535805874,8.303040054019822e-07,0.5124636722525959,8.303040054019822e-07,0.6311604033334356,  ,  
8.303043465773076e-07,-2.449883829956214e-05,8.303362640570566e-07,0.3602190744753901,8.303043465773076e-07,0.5124575351127676,8.303043465773076e-07,0.6311602868609831,  ,  
8.303047553639543e-07,-2.649043397551555e-05,8.303364377793416e-07,0.3598368854483955,8.303047553639543e-07,0.5124498461423206,8.303047553639543e-07,0.6311601473564749,  ,  
8.303050223622559e-07,-2.785618593172252e-05,8.303366330148966e-07,0.359407367227487,8.303050223622559e-07,0.5124446323559152,8.303050223622559e-07,0.6311600562683445,  ,  
8.303053836818614e-07,-2.980063193986342e-05,8.30336893284106e-07,0.358834774966804,8.303053836818614e-07,0.5124373435036361,8.303053836818614e-07,0.631159933037895,  ,  
8.303056786686708e-07,-3.147480608442126e-05,8.303371838044752e-07,0.3581956301546111,8.303056786686708e-07,0.512431200713321,8.303056786686708e-07,0.6311598324647452,  ,  
8.303059187315236e-07,-3.289973931803156e-05,8.303374948778984e-07,0.357511268623539,8.303059187315236e-07,0.5124260791971651,8.303059187315236e-07,0.6311597506348343,  ,  
8.303061375513694e-07,-3.425135569493487e-05,8.303378270048188e-07,0.3567805893986383,8.303061375513694e-07,0.5124213184929837,8.303061375513694e-07,0.6311596760614236,  ,  
8.303063384211963e-07,-3.553950077762406e-05,8.303381784638522e-07,0.3560073795251257,8.303063384211963e-07,0.5124168734241615,8.303063384211963e-07,0.6311596076181548,  ,  
8.303065281395927e-07,-3.680028000386691e-05,8.303385507942229e-07,0.3551882527096547,8.303065281395927e-07,0.5124126115909629,8.303065281395927e-07,0.6311595429857124,  ,  
8.303067115527633e-07,-3.806206569402279e-05,8.30338949155602e-07,0.3543118576755097,8.303067115527633e-07,0.5124084348309172,8.303067115527633e-07,0.6311594805115072,  ,  
8.303068906097752e-07,-3.933650164990439e-05,8.303393923101898e-07,0.3533369175824227,8.303068906097752e-07,0.5124043056111595,8.303068906097752e-07,0.6311594195307626,  ,  
8.303070638840435e-07,-4.06116067017437e-05,8.303399719036707e-07,0.3520618119243923,8.303070638840435e-07,0.5124002630345555,8.303070638840435e-07,0.6311593605282887,  ,  
8.303072332461418e-07,-4.189932933082753e-05,8.303404004681884e-07,0.3511189699855146,8.303072332461418e-07,0.5123962692249877,8.303072332461418e-07,0.6311593028663902,  ,  
8.303074089704667e-07,-4.328052006117729e-05,8.303407281251904e-07,0.3503981245811716,8.303074089704667e-07,0.5123920830971838,8.303074089704667e-07,0.6311592430470929,  ,  
8.303075845237504e-07,-4.470763627046153e-05,8.303410231045052e-07,0.3497491700885423,8.303075845237504e-07,0.51238786026812,8.303075845237504e-07,0.631159183294822,  ,  
8.303077626233185e-07,-4.620598828362361e-05,8.303412960418392e-07,0.3491487079537449,8.303077626233185e-07,0.5123835369048791,8.303077626233185e-07,0.6311591226847706,  ,  
8.303079490400266e-07,-4.78308281595071e-05,8.303415626074078e-07,0.3485622637028918,8.303079490400266e-07,0.5123789720129173,8.303079490400266e-07,0.6311590592537631,  ,  
8.303081833191578e-07,-4.995686586117634e-05,8.303418320945457e-07,0.3479693919993178,8.303081833191578e-07,0.5123731824375218,8.303081833191578e-07,0.631158979550548,  ,  
8.303083836131216e-07,-5.185276187218869e-05,8.303421107283357e-07,0.3473563976614998,8.303083836131216e-07,0.5123681906749117,8.303083836131216e-07,0.6311589114211814,  ,  
8.303086278227117e-07,-5.42656862957451e-05,8.303424055248811e-07,0.3467078452615093,8.303086278227117e-07,0.5123620586583237,8.303086278227117e-07,0.6311588283687246,  ,  
8.303088343308134e-07,-5.639522122304281e-05,8.303427310038547e-07,0.3459917915197326,8.303088343308134e-07,0.5123568399449879,8.303088343308134e-07,0.6311587581506779,  ,  
8.303091088508335e-07,-5.935963129728172e-05,8.303431032571664e-07,0.3451728342339038,8.303091088508335e-07,0.5123498654607848,8.303091088508335e-07,0.63115866482403,  ,  
8.303095609529912e-07,-6.458571465183264e-05,8.303435226227377e-07,0.3442502299770328,8.303095609529912e-07,0.5123383229175502,8.303095609529912e-07,0.6311585111686623,  ,  
8.303101643001252e-07,-7.226471625664357e-05,8.303439480424933e-07,0.343314306514711,8.303101643001252e-07,0.5123229122169084,8.303101643001252e-07,0.6311583061907128,  ,  
8.303107429264516e-07,-8.042564870654333e-05,8.303444510263938e-07,0.3422077419336782,8.303107429264516e-07,0.5123082728712081,8.303107429264516e-07,0.6311581096961589,  ,  
8.303112479412114e-07,-8.821279127541669e-05,8.303448814125101e-07,0.3412608924777285,8.303112479412114e-07,0.5122957425588397,8.303112479412114e-07,0.6311579382710868,  ,  
8.303113463475645e-07,-8.981731720004346e-05,8.303453117986263e-07,0.3403140430220117,8.303113463475645e-07,0.5122933370558322,8.303113463475645e-07,0.6311579048749089,  ,  
8.303114393806628e-07,-9.13484233681805e-05,8.30345343900531e-07,0.3402434188318076,8.303114393806628e-07,0.5122910784035795,8.303114393806628e-07,0.6311578733036635,  ,  
