"P_inst (b0=1,b1=0,b2=1,b3=0) X","P_inst (b0=1,b1=0,b2=1,b3=0) Y"
1.010421750370264e-06,0.0003379815008987109
1.010423118130427e-06,0.0003250705562817238
1.010424278437912e-06,0.0003150631772350666
1.010425377338458e-06,0.0003063595207804962
1.010426730685718e-06,0.0002967765583047429
1.010429437380238e-06,0.0002811161757385954
1.010433660342963e-06,0.0002632189976215395
1.010438014465636e-06,0.0002495294799849543
1.010442473364259e-06,0.000238344944084078
1.010447498145176e-06,0.0002276278194174121
1.01045443565782e-06,0.000214625060490102
1.010463109847964e-06,0.0002002932697078838
1.010473212518744e-06,0.0001855571372827474
1.010486085186163e-06,0.0001687800087313203
1.0105e-06,0.0001521833608560346
1.010507618637387e-06,0.0001436650848121179
1.010517410031689e-06,0.0001330238791216277
1.01052689994602e-06,0.0001231580536715956
1.010545879774681e-06,0.0001047695223826428
1.010574061230375e-06,8.093079171698902e-05
1.010612004858223e-06,5.551343153614445e-05
1.010663098383914e-06,3.239281567119442e-05
1.010746070252613e-06,1.420687127376797e-05
1.010858652402098e-06,7.486075808854797e-06
1.01095954909922e-06,6.48468778110411e-06
1.011065361346182e-06,6.311779246647934e-06
1.01118314794252e-06,6.286360065924069e-06
1.011341322380613e-06,6.282429438011352e-06
1.011555658536871e-06,6.281040480607246e-06
1.011887365977299e-06,6.2796738223457e-06
1.012447258886722e-06,6.278481213277752e-06
1.013567044705568e-06,6.278193836379104e-06
1.01580661634326e-06,6.280268965315582e-06
1.02e-06,6.285472740542976e-06
1.020125e-06,6.304043833630361e-06
1.020156391214336e-06,6.457792848126185e-06
1.020196917699368e-06,8.416844675387671e-06
1.020211716874019e-06,1.054221339930387e-05
1.020226503808181e-06,1.352462681817539e-05
1.020244264134067e-06,1.705659190032701e-05
1.020259014721538e-06,1.861981797328978e-05
1.020280508556641e-06,2.356697491155866e-05
1.020287131382573e-06,3.54267901615508e-05
1.020292774608439e-06,5.259358990269744e-05
1.02029921937763e-06,7.187110922570355e-05
1.020305594863958e-06,8.508178392006556e-05
1.020307340441612e-06,9.55501024809238e-05
1.020310831596921e-06,0.0001619389145647153
1.020312598784703e-06,0.0002360217635905951
1.020314081730564e-06,0.000319454606990474
1.02031556004691e-06,0.0004142607561345843
1.020317466847105e-06,0.0005368100473183726
1.02031872186977e-06,0.0006084721739603062
1.020319578061454e-06,0.0006512132542747425
1.0203202307968e-06,0.0006813818854564334
1.020321028802886e-06,0.0007179281130962348
1.020321803666098e-06,0.0007560136063988263
1.020322933190991e-06,0.0008132605742419642
1.020324081976192e-06,0.0008661168485098646
1.020325002414786e-06,0.0009019172905167642
1.020326023273502e-06,0.0009345876352084084
1.020327677033348e-06,0.0009729403749257368
1.020330202356079e-06,0.001003353209166744
1.020334346696759e-06,0.001007037215758885
1.020338046481801e-06,0.0009853209250744407
1.020342079255556e-06,0.0009532322043344279
1.020346556132103e-06,0.0009148807201919797
