delay (Vbp=0) X,delay (Vbp=0) Y,delay (Vbp=0.55) X,delay (Vbp=0.55) Y,delay (Vbp=1.1) X,delay (Vbp=1.1) Y,delay (Vbp=1.5) X,delay (Vbp=1.5) Y,delay (Vbp=2) X,delay (Vbp=2) Y
2.24e-06,8.963042674179428e-10,2.24e-06,1.361941985521163e-09,2.24e-06,1.804020088782002e-09,2.24e-06,2.048960128684186e-09,2.24e-06,2.299891552533371e-09
2.26e-06,9.090865024332554e-10,2.26e-06,1.378763514989557e-09,2.26e-06,1.82403019575462e-09,2.26e-06,2.070334244563967e-09,2.26e-06,2.323125751254502e-09
2.28e-06,9.219678872826448e-10,2.28e-06,1.395089617730804e-09,2.28e-06,1.844016836856445e-09,2.28e-06,2.091764041592936e-09,2.28e-06,2.346343458227961e-09
2.3e-06,9.340913364644328e-10,2.3e-06,1.411571010111951e-09,2.3e-06,1.86388332670496e-09,2.3e-06,2.113549504773756e-09,2.3e-06,2.368538798333697e-09
2.32e-06,9.472432214678037e-10,2.32e-06,1.428043833167586e-09,2.32e-06,1.883503895649901e-09,2.32e-06,2.134698385337312e-09,2.32e-06,2.392966210625183e-09
2.34e-06,9.590386006156439e-10,2.34e-06,1.44406850817398e-09,2.34e-06,1.903321003851843e-09,2.34e-06,2.156407268611304e-09,2.34e-06,2.415774442069415e-09
2.36e-06,9.719936103367711e-10,2.36e-06,1.460231921581387e-09,2.36e-06,1.923254037820111e-09,2.36e-06,2.17828685421941e-09,2.36e-06,2.43919005052356e-09
2.38e-06,9.846216357990468e-10,2.38e-06,1.476935095040378e-09,2.38e-06,1.943119209366903e-09,2.38e-06,2.199371506962567e-09,2.38e-06,2.462338868593753e-09
2.4e-06,9.972511539293627e-10,2.4e-06,1.493445393185652e-09,2.4e-06,1.963056251165967e-09,2.4e-06,2.220734538210084e-09,2.4e-06,2.485812583029706e-09
2.42e-06,1.010201601608788e-09,2.42e-06,1.509437575489021e-09,2.42e-06,1.982727719677682e-09,2.42e-06,2.242480027343834e-09,2.42e-06,2.509206171519489e-09
2.44e-06,1.022474071877165e-09,2.44e-06,1.527391280315321e-09,2.44e-06,2.002775238746405e-09,2.44e-06,2.264522338294639e-09,2.44e-06,2.532717516024852e-09
2.46e-06,1.035179397418363e-09,2.46e-06,1.54219457049648e-09,2.46e-06,2.022236749277457e-09,2.46e-06,2.28572545641497e-09,2.46e-06,2.555923304775365e-09
2.48e-06,1.047705248984797e-09,2.48e-06,1.559447361085054e-09,2.48e-06,2.042512049530216e-09,2.48e-06,2.307151236575236e-09,2.48e-06,2.578766952320302e-09
2.5e-06,1.061204592126005e-09,2.5e-06,1.575531672921562e-09,2.5e-06,2.062507232878194e-09,2.5e-06,2.328406444213744e-09,2.5e-06,2.602078735193569e-09
2.52e-06,1.073474402909552e-09,2.52e-06,1.592573420722211e-09,2.52e-06,2.081816977687551e-09,2.52e-06,2.350286260300135e-09,2.52e-06,2.625731575924055e-09
2.54e-06,1.085974882826743e-09,2.54e-06,1.608570294226921e-09,2.54e-06,2.102433545232805e-09,2.54e-06,2.372247813769812e-09,2.54e-06,2.649310800830889e-09
2.56e-06,1.098539318260245e-09,2.56e-06,1.625616189791899e-09,2.56e-06,2.122326810482776e-09,2.56e-06,2.393960966858645e-09,2.56e-06,2.67303369998428e-09
2.58e-06,1.111192037619102e-09,2.58e-06,1.641883424097716e-09,2.58e-06,2.14215841557959e-09,2.58e-06,2.414967994693097e-09,2.58e-06,2.696568423981159e-09
2.6e-06,1.124313785944911e-09,2.6e-06,1.658401934641903e-09,2.6e-06,2.162237850236185e-09,2.6e-06,2.437268157030096e-09,2.6e-06,2.719740979224612e-09
2.62e-06,1.136638253989253e-09,2.62e-06,1.675039369084074e-09,2.62e-06,2.181922036854101e-09,2.62e-06,2.458751455810267e-09,2.62e-06,2.743442756529236e-09
2.64e-06,1.14939681685738e-09,2.64e-06,1.691929191745378e-09,2.64e-06,2.202091500670635e-09,2.64e-06,2.481022717089599e-09,2.64e-06,2.767143508318282e-09
