"P_inst (c0=1,c1=1,c2=1,c3=0) X","P_inst (c0=1,c1=1,c2=1,c3=0) Y"
6.045847227429837e-08,8.482496539960226e-05
6.046097002832649e-08,9.268142181126929e-05
6.046346489652836e-08,0.0001200590192293587
6.046532397460564e-08,0.0001340594824217031
6.046721244347573e-08,0.0001300028868886192
6.046875566248547e-08,0.0001346920927321278
6.047041274063186e-08,0.0001753013163999478
6.047172303694218e-08,0.0002079155688711035
6.047299628638061e-08,0.0002171203607802915
6.047418122085361e-08,0.0002088194928333875
6.047540621585522e-08,0.0002176529513826823
6.047664856500684e-08,0.0002720594466910751
6.047773418262116e-08,0.0003374482442424941
6.047876958706663e-08,0.0003859513364925974
6.047983894838531e-08,0.000397887240691379
6.04809140150826e-08,0.0004008631037300035
6.048192392635949e-08,0.0004163700212647756
6.048294785305178e-08,0.0004369863268843997
6.048389560137957e-08,0.0004662038117782736
6.048482851192694e-08,0.0004772769894467241
6.048579930543672e-08,0.0004582165411629806
6.048667388131549e-08,0.0004367235053679375
6.048775203536896e-08,0.0004511048971442343
6.04888375501785e-08,0.0005456521993262118
6.048990630807912e-08,0.0007276920792597194
6.049118494782792e-08,0.0009871800903314722
6.049273186984532e-08,0.001184552546213272
6.049427591102887e-08,0.001202484250339539
6.049594605872637e-08,0.001074417956518562
6.049763751942567e-08,0.0008621151791749672
6.049935443367942e-08,0.0006278963416477002
6.050108487647267e-08,0.0004212796109548668
6.05030284579177e-08,0.0002414747826417291
6.050522598343128e-08,0.0001094888708334389
6.050710202916982e-08,5.08322729245316e-05
6.050914413535086e-08,2.19941415868768e-05
6.05114587360941e-08,9.903265080766009e-06
6.051383952110957e-08,5.862055844979099e-06
6.051670897615113e-08,4.214507037086364e-06
6.052003105767461e-08,3.372246552235335e-06
6.052419000731025e-08,2.682114878062455e-06
6.052963196154563e-08,2.012005098494652e-06
6.05375555895357e-08,1.334717190045158e-06
6.055001508153867e-08,7.195032772812013e-07
6.057018688859693e-08,2.942646927527359e-07
6.059422691958008e-08,1.296986180847e-07
6.062130999847278e-08,7.148684028022502e-08
6.065253990292365e-08,4.841578356617002e-08
6.069189368619776e-08,3.656524067842992e-08
6.07437719757866e-08,2.86788658562038e-08
6.081420224538327e-08,2.252297706329622e-08
6.091474650267277e-08,1.745961247839418e-08
6.107342822354351e-08,1.319126090162984e-08
6.134199816340686e-08,9.7550817800399e-09
6.170952126857203e-08,7.604211607391876e-09
6.222688052144954e-08,6.147281722043104e-09
6.295907121425475e-08,5.118428970001435e-09
6.402934669105921e-08,4.349617616107899e-09
6.558090959390948e-08,3.768580905639896e-09
6.781665997832538e-08,3.3230779341491e-09
7e-08,3.068312512225723e-09
7.005000000000001e-08,8.261650616743726e-08
7.006344096876254e-08,5.494589193754857e-07
7.009032290628762e-08,7.525898310834505e-06
7.009702236388331e-08,1.102417456291105e-05
7.010255614252671e-08,1.297841360825538e-05
7.010853033163915e-08,1.3145889175189e-05
7.011347603871164e-08,1.191415757666052e-05
7.011624509304442e-08,1.080535636348398e-05
7.011718460524038e-08,1.046219680631444e-05
7.01181837907491e-08,1.010532837361949e-05
7.011899944689535e-08,1.010353986793336e-05
7.012063075918787e-08,2.024338503583192e-05
7.012171419180176e-08,4.716425040218618e-05
7.012306109818948e-08,9.145076768263396e-05
7.012412213088004e-08,0.0001187112053962992
7.012518361196222e-08,0.0001317976714298932
7.012624509304442e-08,0.0001388218540270072
7.012655677547025e-08,0.000137331946263922
7.01270269074961e-08,0.0001419845560775041
7.01274553964557e-08,0.0001510483139617926
7.012809847143105e-08,0.0001687030805871791
7.012894681568133e-08,0.0001901796846166466
7.012979754692985e-08,0.0002003166750183065
7.013067436719531e-08,0.0001969078399620877
7.013153624902192e-08,0.0001929989415196199
7.013252499224195e-08,0.0001942628223091068
7.013351583935216e-08,0.000194604424434963
7.013455425794088e-08,0.000189254099878702
7.013566199726681e-08,0.0001704756937189391
7.013652351585061e-08,0.0001523175685595056
7.013747692941735e-08,0.0001382542542586566
7.013862914820412e-08,0.0001378733934293772
7.013955458935457e-08,0.0001427594253874161
7.014057722915181e-08,0.0001422455644548488
7.014181782762088e-08,0.0001322311085126701
7.014295295905899e-08,0.0001220640711230424
7.014411985116891e-08,0.0001223080645882879
7.01450228570122e-08,0.0001261198259097195
7.014580801987485e-08,0.0001234621911374734
7.014641534171787e-08,0.0001162063760994592
7.014715556130468e-08,0.0001037360683421307
7.014771246162953e-08,9.385016625884716e-05
7.014838413554829e-08,8.371695765112111e-05
7.014918302235286e-08,7.296278434165925e-05
7.014999433537675e-08,6.301962350155868e-05
