/in_DTC X,/in_DTC Y,/out_DTC X,/out_DTC Y,/EN_b X,/EN_b Y,/V_cap X,/V_cap Y,/V_ramp X,/V_ramp Y,B X,B LogicBus,D X,D LogicBus
5.012554106987046e-08,0,5.012554106987046e-08,1.09999994453775,5.012554106987046e-08,1.099999431251058,5.012554106987046e-08,0.7427891375868836,5.012554106987046e-08,0.7427887701286466,  ,  ,  ,  
5.012579286755435e-08,0,5.012579286755435e-08,1.099999944538708,5.012579286755435e-08,1.099999490201335,5.012579286755435e-08,0.7427891375292932,5.012579286755435e-08,0.7427887726406783,  ,  ,  ,  
5.012602150424024e-08,0,5.012602150424024e-08,1.099999944540348,5.012602150424024e-08,1.099999648408414,5.012602150424024e-08,0.742789137481679,5.012602150424024e-08,0.7427887749324343,  ,  ,  ,  
5.01261331583673e-08,0,5.01261331583673e-08,1.099999944541479,5.01261331583673e-08,1.09999977504301,5.01261331583673e-08,0.7427891374604478,5.01261331583673e-08,0.7427887760583958,  ,  ,  ,  
5.012624481249437e-08,0,5.012624481249437e-08,1.099999944542878,5.012624481249437e-08,1.099999945785254,5.012624481249437e-08,0.7427891374408515,5.012624481249437e-08,0.7427887771914843,  ,  ,  ,  
5.012629584762417e-08,0,5.012629584762417e-08,1.099999944543017,5.012629584762417e-08,1.099999996499526,5.012629584762417e-08,0.7427891374278057,5.012629584762417e-08,0.7427887777000773,  ,  ,  ,  
5.01263417821645e-08,0,5.01263417821645e-08,1.09999994454336,5.01263417821645e-08,1.10000006002213,5.01263417821645e-08,0.7427891374178557,5.01263417821645e-08,0.7427887781620959,  ,  ,  ,  
5.012638988383905e-08,0,5.012638988383905e-08,1.099999944543976,5.012638988383905e-08,1.100000149392105,5.012638988383905e-08,0.7427891374094676,5.012638988383905e-08,0.7427887786512268,  ,  ,  ,  
5.012648271885382e-08,0,5.012648271885382e-08,1.099999944545792,5.012648271885382e-08,1.100000388715601,5.012648271885382e-08,0.742789137397914,5.012648271885382e-08,0.7427887796102135,  ,  ,  ,  
5.012660724460013e-08,0,5.012660724460013e-08,1.099999944549135,5.012660724460013e-08,1.100000837717486,5.012660724460013e-08,0.742789137388337,5.012660724460013e-08,0.7427887809237431,  ,  ,  ,  
5.012674667513646e-08,0,5.012674667513646e-08,1.099999944553578,5.012674667513646e-08,1.100001498733879,5.012674667513646e-08,0.742789137381169,5.012674667513646e-08,0.7427887824257461,  ,  ,  ,  
5.012688555212335e-08,0,5.012688555212335e-08,1.09999994455829,5.012688555212335e-08,1.100002309467177,5.012688555212335e-08,0.7427891373743998,5.012688555212335e-08,0.7427887839493962,  ,  ,  ,  
5.012701982543905e-08,0,5.012701982543905e-08,1.099999944563412,5.012701982543905e-08,1.100003194500653,5.012701982543905e-08,0.7427891373633257,5.012701982543905e-08,0.7427887854582297,  ,  ,  ,  
5.012714985298599e-08,0,5.012714985298599e-08,1.09999994456735,5.012714985298599e-08,1.100004177285391,5.012714985298599e-08,0.7427891373517037,5.012714985298599e-08,0.742788786922338,  ,  ,  ,  
