"P_inst (b0=1,b1=0,b2=1,b3=0) X","P_inst (b0=1,b1=0,b2=1,b3=0) Y"
1.02041435892218e-06,0.0006924394031850737
1.020424626382379e-06,0.0006428548831763118
1.020436720219236e-06,0.0005869485010241278
1.020453000792471e-06,0.000519103291991279
1.020475349649629e-06,0.0004394495482069457
1.0205e-06,0.0003666763987408326
1.020511710050212e-06,0.0003374010279804173
1.020525755494586e-06,0.0003046162986891784
1.02053910484871e-06,0.000276425332537904
1.02056580355696e-06,0.0002276484148763057
1.020616891711454e-06,0.0001578828465593325
1.020700444028673e-06,9.924333006605971e-05
1.020775382232649e-06,8.864920193595312e-05
1.020835459020258e-06,8.858688246134542e-05
1.020916744339561e-06,8.689778686615698e-05
1.020979324880134e-06,0.0001001386886981497
1.020998676334265e-06,0.0001174542003184239
1.021019274958566e-06,0.0001434257130971239
1.021043293106613e-06,0.0001662011483610856
1.021063082239495e-06,0.0001624092955958668
1.021070058058344e-06,0.0001575055529788985
1.021084009696044e-06,0.0001475414658073863
1.021092239629076e-06,0.0001429222989251886
1.021097938610684e-06,0.0001407308401335021
1.02110525001924e-06,0.0001382151313822014
1.021110488354594e-06,0.0001356166400601066
1.021117905388912e-06,0.0001296942652825624
1.021125499982916e-06,0.0001210950848122073
1.021131410812814e-06,0.0001141154135152851
1.021135687171715e-06,0.0001102286502212861
1.021139167430547e-06,0.0001077867410144062
1.021142304990206e-06,0.0001057590790729399
1.021145772723842e-06,0.0001035713339485406
1.02114975007637e-06,0.0001010966540662623
1.021155305563123e-06,9.763667647300398e-05
1.021164977317934e-06,9.14323996955634e-05
1.021183760496481e-06,7.645807731541391e-05
1.021197277189886e-06,6.467579671585064e-05
1.021202559327632e-06,6.042279732538817e-05
1.021213123603123e-06,5.323711782753486e-05
1.021226191212643e-06,4.649596314016641e-05
1.021252326431682e-06,3.811157035636613e-05
1.021287286424638e-06,3.232285903539231e-05
1.021334052967859e-06,2.79012332351614e-05
1.021402257644339e-06,2.36554414251156e-05
1.021489023745167e-06,1.996217042014482e-05
1.021602190642637e-06,1.679188359186372e-05
1.021754609691449e-06,1.42270887488138e-05
1.021793106105163e-06,1.37267108921712e-05
1.021870098932592e-06,1.280238069990391e-05
1.021971377297521e-06,1.178678898201499e-05
1.022161363325349e-06,1.033857032519547e-05
1.02245375148368e-06,8.892206741527959e-06
1.022955116921902e-06,7.586461814862673e-06
1.02352342103655e-06,6.930597162019296e-06
1.024233477011506e-06,6.610658953188415e-06
1.025097128329239e-06,6.488808303331816e-06
1.026244509545891e-06,6.4507706726752e-06
1.027587368486169e-06,6.442243270320745e-06
1.028793684243085e-06,6.441681607804447e-06
1.03e-06,6.441741560948055e-06
1.03003125e-06,6.442339801551469e-06
1.030081483150348e-06,6.442015135973541e-06
1.030181949451043e-06,6.613093691608965e-06
1.030210047554799e-06,7.34186001587341e-06
1.030224096606677e-06,8.229570026046061e-06
1.030252194710434e-06,1.165290178174427e-05
1.03027685630293e-06,1.615854299371549e-05
1.030298277577158e-06,1.962988371663971e-05
1.030320198886308e-06,2.102990605844038e-05
1.030335409862308e-06,3.222545567991306e-05
1.030337909862308e-06,4.024883671400616e-05
1.030340442857724e-06,6.613086385237005e-05
1.030342555502269e-06,0.0001460415048270653
1.030343982682289e-06,0.0002046540331854874
1.030345409862309e-06,0.0002475905114755308
1.030345728873007e-06,0.0002432286846008778
1.030346255737694e-06,0.0002347008094880328
1.030346730031246e-06,0.0002264322184505756
1.030347326469658e-06,0.0002172304492325815
1.030348091954616e-06,0.0002062310617523055
1.030349070733463e-06,0.0001968908478671055
1.030350458553966e-06,0.0001969211509856695
1.030352143225507e-06,0.0002130745833228814
1.03035357339548e-06,0.0002305812527489283
1.030355286481921e-06,0.0002514663128614854
1.030357146664099e-06,0.000266832371670819
1.030358920379018e-06,0.0002696398508317653
1.030360753030856e-06,0.0002696785504608937
1.030362705785483e-06,0.000273268045914027
1.030364509513731e-06,0.000273552997889083
1.030366417284212e-06,0.0002750251408474412
1.030368549703223e-06,0.0002715346369266656
1.030370285645731e-06,0.0002596402277281667
1.030372139164507e-06,0.000243029682092024
1.030374329402918e-06,0.000236079195676434
1.030376390342314e-06,0.0002488450759737825
1.030378167506225e-06,0.0002662154699551712
1.030380027445401e-06,0.0002899466356738504
1.030382394188647e-06,0.0003299516624111857
1.030384296158431e-06,0.0003626350509764892
1.030386309225549e-06,0.000399631201555156
1.03038837821855e-06,0.000429054147006023
1.030390192792255e-06,0.0004413090158776451
1.030392384364037e-06,0.0004558252862866093
1.030394475425058e-06,0.0004750388221498375
1.030396292667488e-06,0.0004867468024222508
1.030398097690364e-06,0.000497290411444737
1.030400255930799e-06,0.0005180888554697647
1.030402165215539e-06,0.0005356093036760693
1.030403895781042e-06,0.0005426291969937753
1.030405999423339e-06,0.0005436275971100597
1.03040805312115e-06,0.0005473140951200096
1.030410040288828e-06,0.0005516694731737955
1.030411890130174e-06,0.0005478824394248513
1.030414396391664e-06,0.0005282178494715137
1.030416656129098e-06,0.0005012052655333996
1.030418927274474e-06,0.0004717121731852231
1.030421181161986e-06,0.0004447353197817746
1.030423216529252e-06,0.0004264818634323058
1.030424890571261e-06,0.0004179616680843761
1.03042690124771e-06,0.0004120730278167717
1.030429031488774e-06,0.0004074179588646777
1.030430792208239e-06,0.0004040200707350482
1.030432907727474e-06,0.0004002176700824126
1.030435838938657e-06,0.000395198582590613
1.030440368290907e-06,0.0003876586479524866
1.030445359497741e-06,0.0003794403762855869
1.030451319614558e-06,0.0003697130262148226
1.030458584156278e-06,0.0003580528297839183
1.030468680843453e-06,0.0003426054019361835
