delay (Vbp=0) X,delay (Vbp=0) Y,delay (Vbp=0.55) X,delay (Vbp=0.55) Y,delay (Vbp=1.1) X,delay (Vbp=1.1) Y,delay (Vbp=1.5) X,delay (Vbp=1.5) Y,delay (Vbp=2) X,delay (Vbp=2) Y
3.28e-06,1.71786313692916e-09,3.28e-06,2.40045982853986e-09,3.28e-06,3.0639734952774e-09,3.28e-06,3.431268601607123e-09,3.28e-06,3.816093555601818e-09
3.3e-06,1.73105619581496e-09,3.3e-06,2.415799633635536e-09,3.3e-06,3.08308044749206e-09,3.3e-06,3.452146960786758e-09,3.3e-06,3.838295604083967e-09
3.32e-06,1.743919922404687e-09,3.32e-06,2.433032185090893e-09,3.32e-06,3.103704838319202e-09,3.32e-06,3.474644938720169e-09,3.32e-06,3.862695325746825e-09
3.34e-06,1.756247954045022e-09,3.34e-06,2.449107213189616e-09,3.34e-06,3.123826350787117e-09,3.34e-06,3.495867011298661e-09,3.34e-06,3.88520649970755e-09
3.36e-06,1.768862015194979e-09,3.36e-06,2.46567163149718e-09,3.36e-06,3.143790727786503e-09,3.36e-06,3.517634518281687e-09,3.36e-06,3.907142508586672e-09
3.38e-06,1.780900081581586e-09,3.38e-06,2.481461302984116e-09,3.38e-06,3.163084728504646e-09,3.38e-06,3.538499379918654e-09,3.38e-06,3.929657375357234e-09
3.4e-06,1.794247827850152e-09,3.4e-06,2.499530730971303e-09,3.4e-06,3.1841156774303e-09,3.4e-06,3.56159080089602e-09,3.4e-06,3.954657443960937e-09
3.42e-06,1.806609758885458e-09,3.42e-06,2.515190787478262e-09,3.42e-06,3.203547206273926e-09,3.42e-06,3.582765041412666e-09,3.42e-06,3.978204307454394e-09
3.44e-06,1.819538299931928e-09,3.44e-06,2.532003484963719e-09,3.44e-06,3.223829073862562e-09,3.44e-06,3.604865560608628e-09,3.44e-06,4.003364689865925e-09
3.46e-06,1.831725631418243e-09,3.46e-06,2.547873183687701e-09,3.46e-06,3.242915277468773e-09,3.46e-06,3.625735437518447e-09,3.46e-06,4.025479150404645e-09
3.48e-06,1.844632119812286e-09,3.48e-06,2.564651957185232e-09,3.48e-06,3.263180505005015e-09,3.48e-06,3.647841714685883e-09,3.48e-06,4.050032725489846e-09
3.5e-06,1.857052599216695e-09,3.5e-06,2.581116390062099e-09,3.5e-06,3.282588283025757e-09,3.5e-06,3.669011372137681e-09,3.5e-06,4.071492436513809e-09
3.52e-06,1.869646872587825e-09,3.52e-06,2.597626438862086e-09,3.52e-06,3.301668367349697e-09,3.52e-06,3.690674139801656e-09,3.52e-06,4.09447293598251e-09
3.54e-06,1.881765467543246e-09,3.54e-06,2.613445110203532e-09,3.54e-06,3.320910302064997e-09,3.54e-06,3.711588938009658e-09,3.54e-06,4.117078088386974e-09
3.56e-06,1.891726027808883e-09,3.56e-06,2.630435548226778e-09,3.56e-06,3.345689995051566e-09,3.56e-06,3.739227790354121e-09,3.56e-06,4.149252129954052e-09
3.58e-06,1.904000967629648e-09,3.58e-06,2.646554701146469e-09,3.58e-06,3.365185256397855e-09,3.58e-06,3.760499621680669e-09,3.58e-06,4.171473387536829e-09
3.6e-06,1.916841489318147e-09,3.6e-06,2.663437121146606e-09,3.6e-06,3.3849291693455e-09,3.6e-06,3.782652988671737e-09,3.6e-06,4.195483054807317e-09
3.62e-06,1.929048467990627e-09,3.62e-06,2.679287806890036e-09,3.62e-06,3.404139314762167e-09,3.62e-06,3.80355946607634e-09,3.62e-06,4.221942043952225e-09
3.64e-06,1.942201793185515e-09,3.64e-06,2.696397708210528e-09,3.64e-06,3.424784724742145e-09,3.64e-06,3.826044745619215e-09,3.64e-06,4.246222875816808e-09
3.66e-06,1.954684110953932e-09,3.66e-06,2.712508749611262e-09,3.66e-06,3.444300584670745e-09,3.66e-06,3.847245345274335e-09,3.66e-06,4.267809997368268e-09
3.68e-06,1.967473192061732e-09,3.68e-06,2.729090956202022e-09,3.68e-06,3.464313993851982e-09,3.68e-06,3.869068442813871e-09,3.68e-06,4.291865282564256e-09
3.7e-06,1.979774481717485e-09,3.7e-06,2.745099056198338e-09,3.7e-06,3.483691080856376e-09,3.7e-06,3.889998254526523e-09,3.7e-06,4.314542909332964e-09
