/out_DTC X,/out_DTC Y,/in_DTC X,/in_DTC Y,/V_ramp X,/V_ramp Y,/V_n X,/V_n Y,D X,D LogicBus
8.303568744739327e-07,0.002111801991892306,8.303568744739327e-07,0.3148761573480473,8.303568744739327e-07,0.4914024653109838,8.303568744739327e-07,0.6510514853502982,  ,  
8.303573223474523e-07,0.002185190623062805,8.303573223474523e-07,0.3138908356049385,8.303573223474523e-07,0.4914620983990214,8.303573223474523e-07,0.6511464393440011,  ,  
8.303577481294602e-07,0.002254316242739841,8.303577481294602e-07,0.3129541151876124,8.303577481294602e-07,0.4915181913709197,8.303577481294602e-07,0.6512339981142118,  ,  
8.303582293682733e-07,0.002331294766705421,8.303582293682733e-07,0.311895389798671,8.303582293682733e-07,0.4915806287205896,8.303582293682733e-07,0.6513297724021855,  ,  
8.303586685999576e-07,0.002397973751978658,8.303586685999576e-07,0.3109290800932821,8.303586685999576e-07,0.4916340854959388,8.303586685999576e-07,0.6514112978967809,  ,  
8.303591796205867e-07,0.002468178066174624,8.303591796205867e-07,0.3098048347092234,8.303591796205867e-07,0.4916886989712183,8.303591796205867e-07,0.6514955736455461,  ,  
8.303598824714467e-07,0.002560433905930792,8.303598824714467e-07,0.3082585628173259,8.303598824714467e-07,0.4917596953732543,8.303598824714467e-07,0.6516046120884796,  ,  
8.303604509013854e-07,0.002631064028422282,8.303604509013854e-07,0.3070080169521284,8.303604509013854e-07,0.4918132171387168,8.303604509013854e-07,0.651687178601043,  ,  
8.303610875388582e-07,0.002704428386104194,8.303610875388582e-07,0.3056074145118703,8.303610875388582e-07,0.4918670483170715,8.303610875388582e-07,0.6517720567374359,  ,  
8.30361702148442e-07,0.00277016021680896,8.30361702148442e-07,0.3042552734275512,8.30361702148442e-07,0.4919131352573313,8.30361702148442e-07,0.6518472590527952,  ,  
8.303623233183006e-07,0.002834215671885051,8.303623233183006e-07,0.3028886997385946,8.303623233183006e-07,0.4919563330240953,8.303623233183006e-07,0.651919994200061,  ,  
8.3036295352845e-07,0.002900945253085401,8.3036295352845e-07,0.3015022374100035,8.3036295352845e-07,0.4920009312763394,8.3036295352845e-07,0.6519957009192997,  ,  
8.303636107718262e-07,0.00297677309814603,8.303636107718262e-07,0.3000563019822959,8.303636107718262e-07,0.4920528040524811,8.303636107718262e-07,0.6520819121802561,  ,  
8.303640922891847e-07,0.003038249944941015,8.303640922891847e-07,0.2989969637936892,8.303640922891847e-07,0.4920962067059008,8.303640922891847e-07,0.6521517694622995,  ,  
8.303644881671014e-07,0.003093494062766565,8.303644881671014e-07,0.2981260323767779,8.303644881671014e-07,0.492136306592636,8.303644881671014e-07,0.6522142985854108,  ,  
8.303648408518359e-07,0.003146789125563999,8.303648408518359e-07,0.2973501259609816,8.303648408518359e-07,0.49217593119597,8.303648408518359e-07,0.6522742215536891,  ,  
8.303651673998159e-07,0.003199826754243826,8.303651673998159e-07,0.2966317204048888,8.303651673998159e-07,0.4922161706188113,8.303651673998159e-07,0.652333335313902,  ,  
8.303654884106056e-07,0.003255580937640261,8.303654884106056e-07,0.295925496667744,8.303654884106056e-07,0.4922592063661861,8.303654884106056e-07,0.6523948309431521,  ,  
8.303658114395723e-07,0.003315435852955733,8.303658114395723e-07,0.2952148329409295,8.303658114395723e-07,0.4923061185858022,8.303658114395723e-07,0.6524600882254069,  ,  
8.303661341341052e-07,0.00337909176990089,8.303661341341052e-07,0.2945049049684899,8.303661341341052e-07,0.4923567053547402,8.303661341341052e-07,0.652528672487877,  ,  
8.303664627989764e-07,0.003447900371029287,8.303664627989764e-07,0.2937818422517807,8.303664627989764e-07,0.4924120678291974,8.303664627989764e-07,0.6526019744232063,  ,  
8.303668011986216e-07,0.003522825501523796,8.303668011986216e-07,0.2930373630324841,8.303668011986216e-07,0.4924730296652497,8.303668011986216e-07,0.6526809702188635,  ,  
8.303671553818272e-07,0.003605496201934403,8.303671553818272e-07,0.2922581599801272,8.303671553818272e-07,0.4925409877701044,8.303671553818272e-07,0.6527673418419679,  ,  
8.303675408956189e-07,0.003700198832610759,8.303675408956189e-07,0.2914100296384374,8.303675408956189e-07,0.4926196217123788,8.303675408956189e-07,0.6528655140823804,  ,  
8.303679835749942e-07,0.003814785621164522,8.303679835749942e-07,0.2904361350128122,8.303679835749942e-07,0.4927157853704004,8.303679835749942e-07,0.6529835000256777,  ,  
8.303683993308783e-07,0.003927993409921476,8.303683993308783e-07,0.2895214720676196,8.303683993308783e-07,0.4928118128564453,8.303683993308783e-07,0.6530993914606581,  ,  
8.303687790226701e-07,0.004035735672146949,8.303687790226701e-07,0.2886861501258539,8.303687790226701e-07,0.4929040495973337,8.303687790226701e-07,0.6532092136233953,  ,  
8.303691352256702e-07,0.004140431883298826,8.303691352256702e-07,0.2879025035255267,8.303691352256702e-07,0.4929943902523578,8.303691352256702e-07,0.653315473699189,  ,  
8.303694729100343e-07,0.004242446544706832,8.303694729100343e-07,0.2871595979244205,8.303694729100343e-07,0.4930829807153801,8.303694729100343e-07,0.6534185541229391,  ,  
8.30369798802386e-07,0.004342861368686405,8.30369798802386e-07,0.2864426347507697,8.30369798802386e-07,0.4931706163525725,8.30369798802386e-07,0.6535195185305663,  ,  
8.30370118807242e-07,0.004442558904024961,8.30370118807242e-07,0.2857386240674905,8.30370118807242e-07,0.4932579233360208,8.30370118807242e-07,0.6536191312455043,  ,  
8.303704382088862e-07,0.004542447222233128,8.303704382088862e-07,0.2850359404503174,8.303704382088862e-07,0.493345589417013,8.303704382088862e-07,0.6537182215778293,  ,  
8.30370760693042e-07,0.004642778844204827,8.30370760693042e-07,0.284326475307607,8.30370760693042e-07,0.493433720455104,8.30370760693042e-07,0.6538168649594154,  ,  
