leafValue(clip(getData(":pwr" ?result "tran") (VAR("T") / 2) (32.5 * VAR("T"))) "Design_Point" 1.0) X,leafValue(clip(getData(":pwr" ?result "tran") (VAR("T") / 2) (32.5 * VAR("T"))) "Design_Point" 1.0) Y
3.762047468738617e-08,2.221133892939086e-05
3.762124735587871e-08,2.189097588026247e-05
3.762198126590346e-08,2.177042498532103e-05
3.762292685872651e-08,2.172422707676698e-05
3.762411171413516e-08,2.173567059263366e-05
3.762600986965543e-08,2.178834289836636e-05
3.762847853270541e-08,2.182630068971933e-05
3.763163537800459e-08,2.176220303234391e-05
3.763590007609215e-08,2.140703778897996e-05
3.764258683249217e-08,2.010817634097607e-05
3.765e-08,1.765781415993035e-05
3.765335856301765e-08,1.593706575062428e-05
3.765754658279044e-08,1.397369112545184e-05
3.766152442883888e-08,1.235678927929176e-05
3.766948012093577e-08,9.810216290890394e-06
3.768070326444269e-08,7.496775431843986e-06
3.769540896656028e-08,5.963276303084792e-06
3.771075070381558e-08,5.316007167043886e-06
3.772881070214772e-08,5.058062043025236e-06
3.775174345152365e-08,4.977231519036283e-06
3.777835299917924e-08,4.961918542478378e-06
3.781084233300549e-08,4.959920314166425e-06
3.785274386701423e-08,4.959787649701661e-06
3.791200127825805e-08,4.959782731116375e-06
3.80057747160787e-08,4.959783104616876e-06
3.817829064180739e-08,4.959783858609466e-06
3.852332249326478e-08,4.959785309460896e-06
3.921338619617955e-08,4.95978814033901e-06
4.059351360200909e-08,4.959793365011119e-06
4.279675680100454e-08,4.959800728929516e-06
4.499999999999999e-08,4.959806981089783e-06
4.50375e-08,4.975636115205033e-06
4.504700325136136e-08,5.07027230665001e-06
4.506600975408409e-08,8.511666327002518e-06
4.507120463391549e-08,1.12869470668329e-05
4.507584640839728e-08,1.426992964245093e-05
4.508124066200785e-08,1.757900061796612e-05
4.508650390170147e-08,1.983114420040358e-05
4.509603033137158e-08,1.927904717033825e-05
4.509991960070803e-08,1.68918831468417e-05
4.510244840872584e-08,1.500995526675448e-05
4.510547341359235e-08,1.327437451630902e-05
4.510793547822343e-08,1.262197001029704e-05
4.511048554040271e-08,1.258414285349582e-05
4.51129028454335e-08,1.269497035344858e-05
4.511542793119956e-08,1.280218989883657e-05
4.511796517769785e-08,1.288613562423445e-05
