P_inst (ln_comp_coarse=2e-07) X,P_inst (ln_comp_coarse=2e-07) Y
3.533758508067793e-08,0.000395086173843316
3.533845944915225e-08,0.0003600424022417416
3.533936308732355e-08,0.0003334693781426697
3.534033491046651e-08,0.0003187001789043902
3.534131450083176e-08,0.0003048404458028446
3.534231416597169e-08,0.000272962361436156
3.534305574851696e-08,0.000244672764169972
3.534385211008625e-08,0.0002300668968666802
3.534466576530469e-08,0.0002305718063496891
3.534564286137816e-08,0.0002327994707537917
3.534666326150135e-08,0.0002302142501017927
3.534775504253976e-08,0.0002220156700115346
3.53488755568314e-08,0.0002085050719332084
3.535006589442874e-08,0.0001932208384222677
3.535097703299082e-08,0.0001835378817199059
3.535203692704338e-08,0.0001740222150817452
3.535333216295374e-08,0.0001637863987122955
3.535455680571719e-08,0.0001549474876385264
3.535612448917849e-08,0.0001448350422562785
3.535800027420244e-08,0.0001370446211198857
3.536018263191961e-08,0.000141262075141763
3.536282558754794e-08,0.0001770075536940998
3.536516047245801e-08,0.000226222419049624
3.536763868785524e-08,0.0002689079857030707
3.537100796223299e-08,0.0002997966463061967
3.537360340367944e-08,0.0003491501874261487
3.537543451265217e-08,0.0003957948085542378
3.537693336716431e-08,0.0004278540124396003
3.537857851319684e-08,0.0004942151438267409
3.538005965789723e-08,0.0005685853419669326
3.538130372204999e-08,0.0006226772048562579
3.538231834230133e-08,0.0006865346908358482
3.53835672074292e-08,0.0007935117035454986
3.53848269482635e-08,0.0008856721074590409
3.538584315733939e-08,0.0009369352558780827
3.538715261992408e-08,0.0009800165017617192
3.538845295275291e-08,0.00102546141474992
3.538986529685031e-08,0.00113168637534563
3.539117336622273e-08,0.001278877199460017
3.539223795244907e-08,0.001395765028708945
3.53932702610767e-08,0.001487402138783904
3.539461638496243e-08,0.001567463431177141
3.539582812284315e-08,0.00160320827578451
3.539727723511965e-08,0.001611509146786449
3.53988464132648e-08,0.001602935326131403
3.540030373588939e-08,0.001611675301283616
3.540203772955618e-08,0.001698457862585019
3.540365512072901e-08,0.00187042370586801
3.540553991876422e-08,0.002115177669027387
3.540687294390904e-08,0.002272436928657201
3.540886530315286e-08,0.002444010232705594
3.541037443451797e-08,0.002513712879345832
3.541248113285259e-08,0.00252716556750565
3.541442308793025e-08,0.002471297054946754
3.54163313438112e-08,0.002377266561637292
3.541889722454798e-08,0.002226634232514828
3.542085691523457e-08,0.002116558833226557
3.542360147773247e-08,0.00202287352241394
3.542613997350415e-08,0.002066937430355225
3.54288811640734e-08,0.002237604443901086
3.543110975927592e-08,0.002396324416573549
3.543314540058073e-08,0.002513552938537699
3.543507819712547e-08,0.002585462533505128
3.543752171840442e-08,0.002609535007405323
3.543951412941344e-08,0.002568336295552732
3.544206389300598e-08,0.002442515065140208
3.544421613864653e-08,0.002290130262197362
3.544659604301744e-08,0.002099037738322809
3.544939676003823e-08,0.001872831031981537
3.545160747879802e-08,0.001705863480771976
3.545451300096311e-08,0.001508050327193737
3.545700543425584e-08,0.001356967885773314
3.545995383014398e-08,0.001196436382340324
3.546295759384697e-08,0.001050488656411141
3.546605820758718e-08,0.0009168868448127191
3.546933149173664e-08,0.0007951568411964022
3.54730968212052e-08,0.0006784919703061717
3.547651730864023e-08,0.0005927837206818028
3.548048743488416e-08,0.0005135541078356302
3.548433420478849e-08,0.0004540178085962351
3.548859590679253e-08,0.0004028265954550253
3.549309305419192e-08,0.0003614661650957499
3.549789089282619e-08,0.0003271166566810054
3.550310588761382e-08,0.0002978344613050329
3.550839071662263e-08,0.0002737164137375868
3.551406492444828e-08,0.0002522389156637713
3.551994168020481e-08,0.0002331858053871683
3.552608184415511e-08,0.0002159753113392444
3.553265732041353e-08,0.0001997187043111026
3.553940291082923e-08,0.000185060101770157
3.554681892357899e-08,0.0001707455734594253
3.555433303574555e-08,0.0001580009281939811
3.556252737743433e-08,0.0001456984028897301
3.55709236499191e-08,0.0001346926646673672
3.557992727127978e-08,0.0001243262576897589
3.558924964326587e-08,0.0001150348786679906
3.55991423859839e-08,0.0001064489842057422
3.560943744860876e-08,9.878403852866425e-05
3.562029658798812e-08,9.180386897031926e-05
3.563162192477308e-08,8.561546579780346e-05
3.564352592903157e-08,8.004641454056053e-05
3.565595070902074e-08,7.515056920475573e-05
3.56689840125723e-08,7.079018201899481e-05
3.568258742225817e-08,6.699392381291278e-05
3.56968390375259e-08,6.364664241361275e-05
3.57117071122381e-08,6.076499812481228e-05
3.572726940718147e-08,5.825118101895062e-05
3.574350164718834e-08,5.611496678002302e-05
3.576048529670056e-08,5.427419486079679e-05
3.577819743267897e-08,5.273552789355219e-05
3.579671736991092e-08,5.143101781349212e-05
3.581602700661598e-08,5.036500435913348e-05
3.583620883981149e-08,4.948122687977364e-05
3.58572517574996e-08,4.878258117062097e-05
3.587924635001124e-08,4.822265592734253e-05
3.590219607850303e-08,4.780343415126654e-05
3.592618666104911e-08,4.748726478777117e-05
3.595121782315935e-08,4.7275530837259e-05
