Point,Corner,d0,d2,d1,d3,d4,mc_iteration,delay,P_avg,P_out
185,tt_mc,0,1,0,0,0,5,9.91187E-09,8.81862E-07,2.95421E-08
425,tt_mc,1,0,1,0,0,5,9.59148E-09,8.77793E-07,2.61683E-08
105,tt_mc,0,0,1,0,0,5,9.27625E-09,9.18032E-07,3.15591E-08
345,tt_mc,1,0,0,0,0,5,8.96572E-09,8.62631E-07,2.80259E-08
605,tt_mc,1,1,1,1,1,5,8.64805E-09,8.07701E-07,2.08454E-08
25,tt_mc,0,0,0,0,0,5,8.64537E-09,8.07674E-07,2.257E-08
285,tt_mc,0,1,1,1,1,5,8.34148E-09,8.10482E-07,1.96528E-08
525,tt_mc,1,1,0,1,1,5,8.03141E-09,8.86887E-07,2.71843E-08
205,tt_mc,0,1,0,1,1,5,7.72339E-09,8.5607E-07,3.18714E-08
445,tt_mc,1,0,1,1,1,5,7.42423E-09,9.22699E-07,4.03604E-08
125,tt_mc,0,0,1,1,1,5,7.13022E-09,9.20063E-07,3.69691E-08
365,tt_mc,1,0,0,1,1,5,6.82681E-09,8.61976E-07,2.94794E-08
45,tt_mc,0,0,0,1,1,5,6.52193E-09,8.39486E-07,3.43694E-08
565,tt_mc,1,1,1,0,1,5,6.23145E-09,9.11743E-07,3.68364E-08
245,tt_mc,0,1,1,0,1,5,5.94817E-09,8.91785E-07,3.96518E-08
485,tt_mc,1,1,0,0,1,5,5.65864E-09,9.45004E-07,4.50792E-08
165,tt_mc,0,1,0,0,1,5,5.3571E-09,8.91776E-07,4.0722E-08
405,tt_mc,1,0,1,0,1,5,5.07242E-09,9.6309E-07,4.45282E-08
85,tt_mc,0,0,1,0,1,5,4.788E-09,8.9973E-07,4.79896E-08
325,tt_mc,1,0,0,0,1,5,4.49508E-09,8.96359E-07,4.2828E-08
5,tt_mc,0,0,0,0,1,5,4.19569E-09,9.0384E-07,4.38459E-08
626,tt_mc,1,1,1,1,0,6,1.33971E-08,9.38616E-07,2.37178E-08
306,tt_mc,0,1,1,1,0,6,1.30807E-08,9.28255E-07,2.14781E-08
546,tt_mc,1,1,0,1,0,6,1.27744E-08,8.89458E-07,1.8111E-08
226,tt_mc,0,1,0,1,0,6,1.24615E-08,9.08639E-07,1.83695E-08
466,tt_mc,1,0,1,1,0,6,1.21545E-08,8.77032E-07,1.62799E-08
146,tt_mc,0,0,1,1,0,6,1.18293E-08,8.67787E-07,1.63771E-08
386,tt_mc,1,0,0,1,0,6,1.15219E-08,9.50176E-07,2.61915E-08
66,tt_mc,0,0,0,1,0,6,1.11946E-08,9.05611E-07,2.42679E-08
586,tt_mc,1,1,1,0,0,6,1.08853E-08,8.94416E-07,2.78618E-08
266,tt_mc,0,1,1,0,0,6,1.05618E-08,8.77614E-07,2.46776E-08
506,tt_mc,1,1,0,0,0,6,1.02416E-08,8.72092E-07,2.29334E-08
186,tt_mc,0,1,0,0,0,6,9.92211E-09,8.1338E-07,1.63226E-08
426,tt_mc,1,0,1,0,0,6,9.598E-09,8.80034E-07,1.95802E-08
106,tt_mc,0,0,1,0,0,6,9.27554E-09,9.31668E-07,3.01122E-08
346,tt_mc,1,0,0,0,0,6,8.96229E-09,8.93142E-07,2.78418E-08
606,tt_mc,1,1,1,1,1,6,8.64798E-09,8.0729E-07,2.68795E-08
26,tt_mc,0,0,0,0,0,6,8.64798E-09,8.07837E-07,2.65334E-08
286,tt_mc,0,1,1,1,1,6,8.34193E-09,9.41616E-07,3.60375E-08
526,tt_mc,1,1,0,1,1,6,8.03007E-09,9.14953E-07,3.29508E-08
206,tt_mc,0,1,0,1,1,6,7.72287E-09,9.09769E-07,3.41829E-08
446,tt_mc,1,0,1,1,1,6,7.42331E-09,8.48242E-07,1.93064E-08
126,tt_mc,0,0,1,1,1,6,7.12252E-09,9.17761E-07,4.19859E-08
366,tt_mc,1,0,0,1,1,6,6.82192E-09,8.52095E-07,3.17362E-08
