P_inst (trise=5e-10) X,P_inst (trise=5e-10) Y
2.529851446717499e-08,-2.343906517286294e-05
2.529854888158627e-08,-2.029839578557489e-05
2.529858282843501e-08,-2.411338043906212e-05
2.529861744241342e-08,-2.105062996382576e-05
2.529865149155434e-08,-2.353810412130453e-05
2.529868645454823e-08,-2.043256630242079e-05
2.529872067652422e-08,-2.42359413739215e-05
2.529875610557149e-08,-2.110734258116257e-05
2.529879054109851e-08,-2.35956285293157e-05
2.52988265393345e-08,-2.057072826495527e-05
2.529886124064106e-08,-2.435881453869376e-05
2.529889825498045e-08,-2.111039133472563e-05
2.529893346027356e-08,-2.362241371455703e-05
2.529897275011992e-08,-2.077315571356933e-05
2.529900901404763e-08,-2.449334401557579e-05
2.529905870063434e-08,-2.090413787597239e-05
2.52990988704659e-08,-2.366034031195739e-05
2.529914404263374e-08,-2.122051900199196e-05
2.529919140595995e-08,-2.438504952304546e-05
2.529923212434872e-08,-2.061353312680054e-05
2.529927361616382e-08,-2.399770781073573e-05
2.529931286110469e-08,-2.145731090253743e-05
2.529936557541263e-08,-2.400151479009647e-05
2.529940871152959e-08,-2.065324271182093e-05
2.529945395972785e-08,-2.445639203278545e-05
2.529950911954058e-08,-2.114536847700954e-05
2.529955110234713e-08,-2.369265057508206e-05
2.529962063568056e-08,-2.126085263790548e-05
2.529967014110935e-08,-2.435434821003975e-05
2.529971988671125e-08,-2.056575961741836e-05
2.529976860233625e-08,-2.416028314646659e-05
2.52998132831228e-08,-2.135371654385173e-05
2.529986249690388e-08,-2.376426353722265e-05
2.529991664379796e-08,-2.079446484268039e-05
2.529996032844578e-08,-2.44491045989638e-05
2.530001129896433e-08,-2.075085411373572e-05
2.530005689163669e-08,-2.36431965662807e-05
2.530010297356278e-08,-2.117968488758624e-05
2.530016353838568e-08,-2.396635574962151e-05
2.53002076115938e-08,-2.037730024700482e-05
2.530027046853501e-08,-2.41559765130777e-05
2.53003235991457e-08,-2.087200051461559e-05
2.530037176821748e-08,-2.338180630687463e-05
2.530042558218408e-08,-2.082596644794268e-05
2.530047350235767e-08,-2.401948045694195e-05
2.530052132120454e-08,-2.021604257678437e-05
2.530056782234073e-08,-2.359992773920068e-05
2.530061107044754e-08,-2.092483802296243e-05
2.530066704129413e-08,-2.335430992943165e-05
2.530071646317324e-08,-2.020210975399533e-05
2.530076298845127e-08,-2.388200226617406e-05
2.530081074587112e-08,-2.033577519508092e-05
2.5300854878682e-08,-2.304070156721832e-05
2.530090585404747e-08,-2.051802388481538e-05
2.530095824585385e-08,-2.353112591780886e-05
2.530100314479306e-08,-1.975644304006253e-05
2.530105370181476e-08,-2.337831267990292e-05
2.530109932979823e-08,-2.040780042896896e-05
2.530114739884778e-08,-2.287362288470779e-05
2.530120655770841e-08,-1.992816817640945e-05
2.530125176864054e-08,-2.345788058430081e-05
2.530131948247421e-08,-1.960624866217288e-05
2.530137444816954e-08,-2.284104489047594e-05
2.530142574895054e-08,-2.01594474554147e-05
2.530148580627574e-08,-2.26343508905949e-05
2.530153865195267e-08,-1.94787925117982e-05
2.530158946040596e-08,-2.314094561772485e-05
2.530164376517789e-08,-1.943650023747826e-05
2.530169280668206e-08,-2.237401716823936e-05
2.530174393211732e-08,-1.980635400533258e-05
2.530181468387152e-08,-2.24804133970415e-05
2.530186438316477e-08,-1.902962735965321e-05
2.530192586356115e-08,-2.280856632422287e-05
2.530199409898491e-08,-1.914824419874369e-05
2.530204663119955e-08,-2.203457876492465e-05
2.530210987822938e-08,-1.950296586779027e-05
2.530218395013518e-08,-2.207344906199471e-05
2.530223890741559e-08,-1.877077384233902e-05
2.530230158400441e-08,-2.2512184561002e-05
2.530236030319148e-08,-1.876690814490584e-05
2.530241359829043e-08,-2.177219271152385e-05
2.530246872376975e-08,-1.92202186085073e-05
2.53025220138369e-08,-2.186036655225439e-05
2.530257090728185e-08,-1.842856080984708e-05
2.530262454101996e-08,-2.220680388470278e-05
2.530268901825464e-08,-1.864779372498584e-05
2.530273762052563e-08,-2.142509037253462e-05
2.530280096171982e-08,-1.892995641242753e-05
2.530286268095284e-08,-2.17010387678213e-05
2.53029136402022e-08,-1.81512751195654e-05
2.530298153724147e-08,-2.198875854372869e-05
2.530304547056821e-08,-1.838501120735501e-05
2.530309861854257e-08,-2.124193568281244e-05
2.530316650470412e-08,-1.872423321204409e-05
2.530323575375058e-08,-2.138763045913735e-05
2.53032906951258e-08,-1.801880669646623e-05
2.530335549149761e-08,-2.182158748247701e-05
2.530343623344447e-08,-1.802174670446507e-05
2.530349395038398e-08,-2.121309150595436e-05
2.53035572643605e-08,-1.855667148819175e-05
2.530362274111637e-08,-2.109770794764083e-05
2.530368070591355e-08,-1.800203604925295e-05
2.530373603743606e-08,-2.169593024125344e-05
2.530380025035128e-08,-1.782725778321006e-05
2.530385668689865e-08,-2.116700271118243e-05
2.530390953575507e-08,-1.844350587740776e-05
