leafValue(clip(abs(P_inst) 2e-08 ((256 * 5e-08) + 2e-08)) "delay" 1.25e-08) X,leafValue(clip(abs(P_inst) 2e-08 ((256 * 5e-08) + 2e-08)) "delay" 1.25e-08) Y
3.3323995337309e-08,0.007656675786447514
3.334011099541835e-08,0.007145944765141171
3.335667749648935e-08,0.00669909942039382
3.337436935864374e-08,0.006252100351017768
3.339477360974146e-08,0.005811057123100627
3.342161852333292e-08,0.00530585979531281
3.345193473074876e-08,0.004837015152132456
3.347596736537438e-08,0.004493374849538775
3.35e-08,0.004185206929574942
3.351589698748777e-08,0.004000857747771879
3.353506054167802e-08,0.003781812548791607
3.355374913132159e-08,0.003588536530322497
3.358913887871039e-08,0.003258942831123913
3.364212641001264e-08,0.002837146804258612
3.3700605484969e-08,0.002433201459639344
3.376701163784438e-08,0.0020379401852135
3.384639922035431e-08,0.001648425383894459
3.395422759625499e-08,0.001241875200326882
3.40615126932317e-08,0.0009281803224208194
3.41785098644155e-08,0.0006542601075309498
3.431307042937087e-08,0.0004137197639284889
3.449037903255308e-08,0.0002094710468310357
3.470437767608348e-08,8.396141696673144e-05
3.492390155990234e-08,3.232976001744649e-05
3.517240187029702e-08,1.003593580207265e-05
3.547729476222805e-08,2.869723897256799e-06
3.589842578446662e-08,1.324764083555985e-07
3.652494183727532e-08,6.377361017445922e-07
3.757759976149151e-08,7.138500616808342e-10
3.96829156099239e-08,6.471694185759902e-07
4.266758983175961e-08,8.167032839841502e-09
4.5e-08,6.474059038310121e-07
4.50625e-08,9.682246263964725e-08
4.51679981391634e-08,8.357445066262606e-08
4.52207472087451e-08,8.200052180177613e-08
4.532624534790851e-08,9.660415586006777e-08
4.540407719665537e-08,5.654260317788619e-07
4.5432410380145e-08,9.479400112750826e-07
4.545588403867149e-08,1.297462294641014e-06
4.547805117267709e-08,1.456506841707569e-06
4.550043424432704e-08,1.490382286547824e-06
4.552555722646135e-08,1.515252401763087e-06
4.555574763227657e-08,1.488906217392874e-06
4.558508902670257e-08,1.239900886242215e-06
4.559047916502136e-08,1.071540641862322e-06
4.560125944165893e-08,7.990742507952777e-07
4.561187479665094e-08,5.353741072712815e-07
4.562580137539404e-08,4.492598512887236e-07
4.563623030147213e-08,3.418289549229485e-07
4.565007478161956e-08,3.245376608351151e-07
4.567776374191441e-08,2.166615576585718e-07
4.573314166250412e-08,2.14630000019904e-07
4.580639206036314e-08,1.478671532896257e-07
4.590319603018157e-08,1.873291136437644e-07
4.6e-08,1.817400167855347e-07
4.602327913682878e-08,2.820818863820619e-07
4.606606271318723e-08,3.094671840336759e-07
4.610495020602764e-08,3.206702449984905e-07
4.618272519170846e-08,3.237430249793331e-07
4.624422777089135e-08,3.232224775271289e-07
4.636723292925712e-08,3.22963791157565e-07
4.658152599968064e-08,3.233693192440745e-07
4.701011214052768e-08,3.249544228418621e-07
4.786728442222176e-08,3.267140014140314e-07
4.958162898560991e-08,3.271535757177225e-07
5.294772683279725e-08,3.273073405747315e-07
5.408579512459793e-08,3.338346916797446e-07
5.579289756229897e-08,5.454751626369111e-07
5.621967317172423e-08,7.571278881664723e-07
5.685983658586211e-08,1.370441636092901e-06
5.75e-08,2.386550321003629e-06
5.755733052399166e-08,1.338039049827467e-07
5.76569388931074e-08,5.926329215082159e-08
5.777562231422278e-08,4.585936281337844e-07
