Point,Corner,d0,d1,d2,d3,d4,temperature,delay,P_avg
8,fs_2,0,0,1,1,1,80,5.66E-09,3.18E-06
8,tt_0,0,0,1,1,1,-55,5.66E-09,4.20E-06
16,tt_1,0,1,1,1,1,0,5.67E-09,2.05E-06
9,tt_2,0,1,0,0,0,80,5.68E-09,2.51E-06
23,ff_0,1,0,1,1,0,-55,5.69E-09,7.27E-06
29,sf_2,1,1,1,0,0,80,5.70E-09,4.96E-06
23,ff_2,1,0,1,1,0,80,5.71E-09,7.98E-06
18,ss_0,1,0,0,0,1,-55,5.71E-09,1.17E-05
14,ss_2,0,1,1,0,1,80,5.73E-09,6.76E-06
21,sf_1,1,0,1,0,0,0,5.75E-09,3.72E-06
4,fs_0,0,0,0,1,1,-55,5.80E-09,6.34E-06
12,fs_1,0,1,0,1,1,0,5.80E-09,4.72E-06
24,fs_2,1,0,1,1,1,80,5.83E-09,2.67E-06
1,tt_1,0,0,0,0,0,0,5.84E-09,1.55E-06
15,ff_0,0,1,1,1,0,-55,5.86E-09,7.81E-06
15,ff_1,0,1,1,1,0,0,5.86E-09,7.60E-06
15,ff_2,0,1,1,1,0,80,5.91E-09,8.44E-06
3,sf_2,0,0,0,1,0,80,5.91E-09,5.49E-06
13,sf_1,0,1,1,0,0,0,5.92E-09,4.24E-06
5,sf_0,0,0,1,0,0,-55,5.92E-09,4.07E-06
10,ss_0,0,1,0,0,1,-55,5.92E-09,1.11E-05
6,ss_1,0,0,1,0,1,0,5.92E-09,9.02E-06
30,ss_2,1,1,1,0,1,80,5.93E-09,6.13E-06
20,fs_0,1,0,0,1,1,-55,5.96E-09,5.78E-06
28,fs_1,1,1,0,1,1,0,5.97E-09,4.22E-06
16,fs_2,0,1,1,1,1,80,5.99E-09,2.18E-06
16,tt_0,0,1,1,1,1,-55,6.00E-09,3.25E-06
17,tt_1,1,0,0,0,0,0,6.00E-09,1.97E-06
5,tt_2,0,0,1,0,0,80,6.03E-09,3.45E-06
21,sf_0,1,0,1,0,0,-55,6.08E-09,4.57E-06
29,sf_1,1,1,1,0,0,0,6.09E-09,4.73E-06
22,ss_1,1,0,1,0,1,0,6.13E-09,8.39E-06
12,fs_0,0,1,0,1,1,-55,6.13E-09,5.29E-06
8,fs_1,0,0,1,1,1,0,6.14E-09,3.72E-06
4,ss_2,0,0,0,1,1,80,6.14E-09,5.49E-06
1,fs_2,0,0,0,0,0,80,6.16E-09,1.68E-06
1,tt_0,0,0,0,0,0,-55,6.16E-09,2.78E-06
19,sf_2,1,0,0,1,0,80,6.16E-09,5.97E-06
9,tt_1,0,1,0,0,0,0,6.17E-09,2.45E-06
21,tt_2,1,0,1,0,0,80,6.20E-09,3.98E-06
13,sf_0,0,1,1,0,0,-55,6.24E-09,5.09E-06
3,sf_1,0,0,0,1,0,0,6.27E-09,5.22E-06
28,fs_0,1,1,0,1,1,-55,6.29E-09,4.78E-06
24,fs_1,1,0,1,1,1,0,6.31E-09,3.18E-06
17,tt_0,1,0,0,0,0,-55,6.33E-09,3.16E-06
14,ss_1,0,1,1,0,1,0,6.33E-09,7.75E-06
17,fs_2,1,0,0,0,0,80,6.33E-09,2.10E-06
6,ss_0,0,0,1,0,1,-55,6.34E-09,9.72E-06
20,ss_2,1,0,0,1,1,80,6.35E-09,4.87E-06
13,tt_2,0,1,1,0,0,80,6.37E-09,4.49E-06
29,sf_0,1,1,1,0,0,-55,6.42E-09,5.55E-06
11,sf_2,0,1,0,1,0,80,6.43E-09,6.44E-06
19,sf_1,1,0,0,1,0,0,6.44E-09,5.73E-06
