"sample(delay(?wf1 v(""/in_DTC"" ?result ""tran"") ?value1 (VAR(""Vdd"") / 2) ?edge1 ""rising"" ?wf2 v(""/out_DTC"" ?result ""tran"") ?value2 (VAR(""Vdd"") / 2) ?edge2 ""falling"" ?multiple t) (2e-08 + (41 * VAR(""T""))) ((2025 * VAR(""T"")) + 2e-08) ""linear"" VAR(""T"")) X","sample(delay(?wf1 v(""/in_DTC"" ?result ""tran"") ?value1 (VAR(""Vdd"") / 2) ?edge1 ""rising"" ?wf2 v(""/out_DTC"" ?result ""tran"") ?value2 (VAR(""Vdd"") / 2) ?edge2 ""falling"" ?multiple t) (2e-08 + (41 * VAR(""T""))) ((2025 * VAR(""T"")) + 2e-08) ""linear"" VAR(""T"")) Y"
1.00E-05,1.334848846397E-09
1.01E-05,1.335747605314E-09
1.01E-05,1.336707265218E-09
1.01E-05,1.337568130904E-09
1.01E-05,1.338771163190E-09
1.01E-05,1.329426758191E-09
1.02E-05,1.330215859261E-09
1.02E-05,1.331175588571E-09
1.02E-05,1.332122133889E-09
1.02E-05,1.333051612620E-09
1.02E-05,1.333955239793E-09
1.03E-05,1.334856719661E-09
1.03E-05,1.335862228434E-09
1.03E-05,1.336773924953E-09
1.03E-05,1.337727642697E-09
1.03E-05,1.338631066857E-09
1.04E-05,1.339552687171E-09
1.04E-05,1.340490425740E-09
1.04E-05,1.341484816605E-09
1.04E-05,1.342387830763E-09
1.04E-05,1.343263714991E-09
1.05E-05,1.344241765249E-09
1.05E-05,1.345194899497E-09
1.05E-05,1.346119261033E-09
1.05E-05,1.346983911144E-09
1.05E-05,1.348045965894E-09
1.06E-05,1.348868557428E-09
1.06E-05,1.349887169477E-09
1.06E-05,1.350881267836E-09
1.06E-05,1.351709886319E-09
1.06E-05,1.352683856492E-09
1.07E-05,1.353675504485E-09
1.07E-05,1.354564008797E-09
1.07E-05,1.355458905002E-09
1.07E-05,1.356370148538E-09
1.07E-05,1.357579986202E-09
1.08E-05,1.351270212737E-09
1.08E-05,1.352138060064E-09
1.08E-05,1.352963517995E-09
1.08E-05,1.353973238701E-09
1.08E-05,1.354921809190E-09
1.09E-05,1.355816180421E-09
1.09E-05,1.356707293955E-09
1.09E-05,1.357692340156E-09
1.09E-05,1.358657757137E-09
1.09E-05,1.359577031959E-09
1.10E-05,1.360438932385E-09
1.10E-05,1.361453830233E-09
1.10E-05,1.362333568667E-09
1.10E-05,1.363255876939E-09
1.10E-05,1.364122905008E-09
1.11E-05,1.365080518366E-09
1.11E-05,1.366127341879E-09
1.11E-05,1.366943255608E-09
1.11E-05,1.367984701139E-09
1.11E-05,1.368895956450E-09
1.12E-05,1.369886618179E-09
1.12E-05,1.370684129807E-09
1.12E-05,1.371776861102E-09
1.12E-05,1.372724301555E-09
1.12E-05,1.373614248229E-09
1.13E-05,1.374513788451E-09
1.13E-05,1.375462781976E-09
1.13E-05,1.376394561033E-09
1.13E-05,1.377323894176E-09
1.13E-05,1.378206647808E-09
1.14E-05,1.379451425452E-09
1.14E-05,1.370427583093E-09
1.14E-05,1.371170793067E-09
1.14E-05,1.372032577176E-09
1.14E-05,1.373006823813E-09
1.15E-05,1.374042878114E-09
1.15E-05,1.374991085063E-09
1.15E-05,1.375821708596E-09
1.15E-05,1.376884209692E-09
1.15E-05,1.377756030164E-09
1.16E-05,1.378723794080E-09
1.16E-05,1.379599105182E-09
1.16E-05,1.380534174767E-09
1.16E-05,1.381488878588E-09
1.16E-05,1.382428541185E-09
1.17E-05,1.383298685670E-09
1.17E-05,1.384177923031E-09
1.17E-05,1.385267490056E-09
1.17E-05,1.386121344775E-09
1.17E-05,1.387037836730E-09
1.18E-05,1.387988047828E-09
1.18E-05,1.389035520578E-09
1.18E-05,1.389898844867E-09
1.18E-05,1.390878924923E-09
1.18E-05,1.391854050237E-09
1.19E-05,1.392662331716E-09
1.19E-05,1.393781228202E-09
1.19E-05,1.394645198127E-09
1.19E-05,1.395533868391E-09
1.19E-05,1.396547919065E-09
1.20E-05,1.397343113840E-09
1.20E-05,1.398595756895E-09
1.20E-05,1.390195694353E-09
1.20E-05,1.391057880272E-09
1.20E-05,1.392009080503E-09
1.21E-05,1.392991419238E-09
1.21E-05,1.393855793943E-09
1.21E-05,1.394800610903E-09
1.21E-05,1.395731984807E-09
1.21E-05,1.396694780237E-09
1.22E-05,1.397698559745E-09
1.22E-05,1.398585707244E-09
1.22E-05,1.399464858360E-09
1.22E-05,1.400496274690E-09
1.22E-05,1.401445402071E-09
1.23E-05,1.402340266032E-09
1.23E-05,1.403176618047E-09
1.23E-05,1.404102051099E-09
1.23E-05,1.405235861796E-09
1.23E-05,1.406076806617E-09
1.24E-05,1.407034308143E-09
1.24E-05,1.407886019808E-09
1.24E-05,1.408888707464E-09
1.24E-05,1.409721359455E-09
1.24E-05,1.410849533843E-09
1.25E-05,1.411750200685E-09
1.25E-05,1.412638339771E-09
1.25E-05,1.413561457010E-09
1.25E-05,1.414546996799E-09
1.25E-05,1.415405464569E-09
1.26E-05,1.416389605340E-09
1.26E-05,1.417240092873E-09
1.26E-05,1.418494957505E-09
1.26E-05,1.408985395459E-09
1.26E-05,1.409856466387E-09
1.27E-05,1.410726832688E-09
1.27E-05,1.411717451516E-09
1.27E-05,1.412625677476E-09
1.27E-05,1.413609655624E-09
1.27E-05,1.414497625839E-09
1.28E-05,1.415500858369E-09
1.28E-05,1.416508144942E-09
1.28E-05,1.417472927992E-09
1.28E-05,1.418270227527E-09
1.28E-05,1.419263949464E-09
1.29E-05,1.420233789818E-09
1.29E-05,1.421117377775E-09
1.29E-05,1.421997801496E-09
1.29E-05,1.422922156819E-09
1.29E-05,1.423998462949E-09
1.30E-05,1.424857578653E-09
1.30E-05,1.425882147383E-09
1.30E-05,1.426774679978E-09
1.30E-05,1.427717161201E-09
1.30E-05,1.428569991532E-09
1.31E-05,1.429652033567E-09
1.31E-05,1.430582324903E-09
1.31E-05,1.431465262958E-09
1.31E-05,1.432378835954E-09
1.31E-05,1.433335960021E-09
1.32E-05,1.434229926192E-09
1.32E-05,1.435261340289E-09
1.32E-05,1.436072098705E-09
1.32E-05,1.437333683758E-09
1.32E-05,1.429174981751E-09
1.33E-05,1.429990012083E-09
1.33E-05,1.430952577561E-09
1.33E-05,1.431856702832E-09
1.33E-05,1.432807090421E-09
1.33E-05,1.433843364344E-09
1.34E-05,1.434637640243E-09
1.34E-05,1.435646889059E-09
1.34E-05,1.436537503936E-09
1.34E-05,1.437593770687E-09
1.34E-05,1.438396152783E-09
1.35E-05,1.439501943938E-09
1.35E-05,1.440309671845E-09
1.35E-05,1.441355717912E-09
1.35E-05,1.442235708531E-09
1.35E-05,1.443114545231E-09
1.36E-05,1.444127972464E-09
1.36E-05,1.444969975257E-09
1.36E-05,1.445986308601E-09
1.36E-05,1.446830947814E-09
1.36E-05,1.447840995417E-09
1.37E-05,1.448707081488E-09
1.37E-05,1.449723808755E-09
1.37E-05,1.450769011686E-09
1.37E-05,1.451561040517E-09
1.37E-05,1.452629130237E-09
1.38E-05,1.453477051797E-09
1.38E-05,1.454409905569E-09
1.38E-05,1.455349142275E-09
1.38E-05,1.456200292441E-09
1.38E-05,1.457467109027E-09
1.39E-05,1.448409387459E-09
1.39E-05,1.449217550095E-09
1.39E-05,1.450032821839E-09
1.39E-05,1.451114332091E-09
1.39E-05,1.452073980049E-09
1.40E-05,1.453025903890E-09
1.40E-05,1.453945104925E-09
1.40E-05,1.454935791218E-09
1.40E-05,1.455890174603E-09
1.40E-05,1.456786694454E-09
1.41E-05,1.457719436127E-09
1.41E-05,1.458657486178E-09
1.41E-05,1.459598851908E-09
1.41E-05,1.460558130678E-09
1.41E-05,1.461401612751E-09
1.42E-05,1.462262584862E-09
1.42E-05,1.463374047605E-09
1.42E-05,1.464173313920E-09
1.42E-05,1.465293477743E-09
1.42E-05,1.466111181418E-09
1.43E-05,1.467149948693E-09
1.43E-05,1.468035923166E-09
1.43E-05,1.469066359878E-09
1.43E-05,1.470028609344E-09
1.43E-05,1.470876616941E-09
1.44E-05,1.471878050019E-09
1.44E-05,1.472808443587E-09
1.44E-05,1.473714349575E-09
1.44E-05,1.474588184176E-09
1.44E-05,1.475518902208E-09
1.45E-05,1.476791786128E-09
1.45E-05,1.467976875007E-09
1.45E-05,1.468769364241E-09
1.45E-05,1.469652787010E-09
1.45E-05,1.470659468753E-09
1.46E-05,1.471638578746E-09
1.46E-05,1.472571786754E-09
1.46E-05,1.473467728705E-09
1.46E-05,1.474475800647E-09
1.46E-05,1.475384501664E-09
1.47E-05,1.476370786992E-09
1.47E-05,1.477246647145E-09
1.47E-05,1.478224072709E-09
1.47E-05,1.479206022248E-09
1.47E-05,1.480105305633E-09
1.48E-05,1.481003216523E-09
1.48E-05,1.481862517881E-09
1.48E-05,1.482985325680E-09
1.48E-05,1.483839984044E-09
1.48E-05,1.484890243291E-09
1.49E-05,1.485697380100E-09
1.49E-05,1.486656659824E-09
1.49E-05,1.487586196072E-09
1.49E-05,1.488624723362E-09
1.49E-05,1.489580883757E-09
1.50E-05,1.490509829560E-09
1.50E-05,1.491392012039E-09
1.50E-05,1.492375369215E-09
1.50E-05,1.493273951954E-09
1.50E-05,1.494160731524E-09
1.51E-05,1.495081530739E-09
1.51E-05,1.496364771708E-09
1.51E-05,1.486903054782E-09
1.51E-05,1.487666319091E-09
1.51E-05,1.488557337784E-09
1.52E-05,1.489556748436E-09
1.52E-05,1.490509470849E-09
1.52E-05,1.491471577310E-09
1.52E-05,1.492373653790E-09
1.52E-05,1.493373353446E-09
1.53E-05,1.494287541730E-09
1.53E-05,1.495303458252E-09
