delay (Vbp=1.1) X,delay (Vbp=1.1) Y,delay (Vbp=1.2) X,delay (Vbp=1.2) Y,delay (Vbp=1.3) X,delay (Vbp=1.3) Y,delay (Vbp=1.5) X,delay (Vbp=1.5) Y
3.58e-06,3.766381263343481e-09,3.58e-06,3.86828499176899e-09,3.58e-06,3.964518587805678e-09,3.58e-06,4.144105503217168e-09
3.6e-06,3.787398893816697e-09,3.6e-06,3.890592534652307e-09,3.6e-06,3.987348373089991e-09,3.6e-06,4.166929365308805e-09
3.62e-06,3.809420825786638e-09,3.62e-06,3.912619349881635e-09,3.62e-06,4.009734253502511e-09,3.62e-06,4.190002461979007e-09
3.64e-06,3.830984326319655e-09,3.64e-06,3.934621591654993e-09,3.64e-06,4.032344554073619e-09,3.64e-06,4.214634185864745e-09
3.66e-06,3.852386770664209e-09,3.66e-06,3.956186831089582e-09,3.66e-06,4.054521437339072e-09,3.66e-06,4.237686569004611e-09
3.68e-06,3.87443087413124e-09,3.68e-06,3.978747930389661e-09,3.68e-06,4.077366827998755e-09,3.68e-06,4.260471205271993e-09
3.7e-06,3.895703836976857e-09,3.7e-06,4.000709709282447e-09,3.7e-06,4.099735841652424e-09,3.7e-06,4.284208846081774e-09
3.72e-06,3.916623453795932e-09,3.72e-06,4.022348096255117e-09,3.72e-06,4.122003752907398e-09,3.72e-06,4.308206364037067e-09
3.74e-06,3.938805854025484e-09,3.74e-06,4.044720331333872e-09,3.74e-06,4.144712602211995e-09,3.74e-06,4.33096804981323e-09
3.76e-06,3.960225873619974e-09,3.76e-06,4.066896152110017e-09,3.76e-06,4.167957494845249e-09,3.76e-06,4.354230233592377e-09
3.78e-06,3.981874939922737e-09,3.78e-06,4.088936510873547e-09,3.78e-06,4.190274672677429e-09,3.78e-06,4.377722494692585e-09
3.8e-06,4.003471760201739e-09,3.8e-06,4.110835324796033e-09,3.8e-06,4.212875144080762e-09,3.8e-06,4.401241504333488e-09
3.82e-06,4.02506305871965e-09,3.82e-06,4.132820177337587e-09,3.82e-06,4.23525580783668e-09,3.82e-06,4.424583003857727e-09
3.84e-06,4.046462410150229e-09,3.84e-06,4.154577063183029e-09,3.84e-06,4.257393355420461e-09,3.84e-06,4.447995443828038e-09
3.86e-06,4.068072310164641e-09,3.86e-06,4.176904473809346e-09,3.86e-06,4.279405676367872e-09,3.86e-06,4.471030317729934e-09
3.88e-06,4.089482937295466e-09,3.88e-06,4.199055340908957e-09,3.88e-06,4.302498396248581e-09,3.88e-06,4.494484866976876e-09
3.9e-06,4.111014948766653e-09,3.9e-06,4.220866558866243e-09,3.9e-06,4.324968099290105e-09,3.9e-06,4.517588299038219e-09
3.92e-06,4.132731020016856e-09,3.92e-06,4.243041094844062e-09,3.92e-06,4.347265685595016e-09,3.92e-06,4.541448299319763e-09
3.94e-06,4.154126336326766e-09,3.94e-06,4.264960642652875e-09,3.94e-06,4.369965220523284e-09,3.94e-06,4.563704787174525e-09
3.96e-06,4.175694992306204e-09,3.96e-06,4.287131555297725e-09,3.96e-06,4.392370534577363e-09,3.96e-06,4.587456515341636e-09
3.98e-06,4.197022043132763e-09,3.98e-06,4.308734844518599e-09,3.98e-06,4.414635854476006e-09,3.98e-06,4.610228020100849e-09
4e-06,4.218577648648057e-09,4e-06,4.331111484745107e-09,4e-06,4.437206259005169e-09,4e-06,4.634470545264737e-09
4.02e-06,4.240020987266381e-09,4.02e-06,4.352762291789585e-09,4.02e-06,4.459884182420437e-09,4.02e-06,4.657317135572532e-09
4.04e-06,4.2621623258707e-09,4.04e-06,4.374663508260967e-09,4.04e-06,4.48212941914887e-09,4.04e-06,4.680434010293383e-09
4.06e-06,4.283487269319983e-09,4.06e-06,4.396798271651352e-09,4.06e-06,4.504661691422218e-09,4.06e-06,4.704155358264133e-09
4.08e-06,4.305268718419211e-09,4.08e-06,4.418881826386407e-09,4.08e-06,4.527116723671337e-09,4.08e-06,4.726965292891702e-09
4.1e-06,4.326102776073388e-09,4.1e-06,4.441280622483559e-09,4.1e-06,4.549251242713903e-09,4.1e-06,4.74981887115113e-09
4.12e-06,4.347882757008554e-09,4.12e-06,4.462826043614523e-09,4.12e-06,4.572308508804967e-09,4.12e-06,4.773339106418255e-09
4.14e-06,4.369211681802953e-09,4.14e-06,4.48460876205445e-09,4.14e-06,4.594188307250647e-09,4.14e-06,4.796789691696549e-09
4.16e-06,4.390615393823684e-09,4.16e-06,4.506652293527049e-09,4.16e-06,4.616564129269082e-09,4.16e-06,4.820275400862388e-09
4.18e-06,4.412174017806713e-09,4.18e-06,4.528865698145772e-09,4.18e-06,4.638878997520982e-09,4.18e-06,4.843049371578594e-09
4.2e-06,4.43383916163527e-09,4.2e-06,4.55081290044144e-09,4.2e-06,4.661362386320947e-09,4.2e-06,4.86705961357143e-09
4.22e-06,4.455284163047022e-09,4.22e-06,4.57255963325618e-09,4.22e-06,4.684056169810192e-09,4.22e-06,4.890079541906586e-09
4.24e-06,4.477001758019142e-09,4.24e-06,4.594929722437584e-09,4.24e-06,4.706632112882893e-09,4.24e-06,4.913318098307662e-09
