delay (Vbp=1.1) X,delay (Vbp=1.1) Y,delay (Vbp=1.2) X,delay (Vbp=1.2) Y,delay (Vbp=1.3) X,delay (Vbp=1.3) Y,delay (Vbp=1.5) X,delay (Vbp=1.5) Y
1.8e-06,1.830854143041287e-09,1.8e-06,1.890253424740724e-09,1.8e-06,1.945983003881188e-09,1.8e-06,2.049332384446982e-09
1.82e-06,1.852731552428203e-09,1.82e-06,1.912449989743056e-09,1.82e-06,1.968580255848951e-09,1.82e-06,2.072793419047744e-09
1.84e-06,1.874784252265922e-09,1.84e-06,1.933890089260005e-09,1.84e-06,1.991593118614253e-09,1.84e-06,2.096967461523409e-09
1.86e-06,1.896593237206644e-09,1.86e-06,1.957573622712191e-09,1.86e-06,2.014479158413678e-09,1.86e-06,2.121041159112082e-09
1.88e-06,1.919530097967766e-09,1.88e-06,1.979946987337179e-09,1.88e-06,2.037460163679414e-09,1.88e-06,2.144458602392013e-09
1.9e-06,1.941307012486226e-09,1.9e-06,2.002417518136597e-09,1.9e-06,2.060564389946901e-09,1.9e-06,2.167788184559256e-09
1.92e-06,1.962659371646779e-09,1.92e-06,2.024525954125913e-09,1.92e-06,2.083342012329714e-09,1.92e-06,2.19186820135715e-09
1.94e-06,1.985219525372897e-09,1.94e-06,2.046896527613524e-09,1.94e-06,2.106154718499554e-09,1.94e-06,2.215573265390885e-09
1.96e-06,2.007455450406024e-09,1.96e-06,2.069970681270627e-09,1.96e-06,2.129206743529236e-09,1.96e-06,2.239474465818284e-09
1.98e-06,2.029615532171574e-09,1.98e-06,2.092401234214184e-09,1.98e-06,2.151939907661165e-09,1.98e-06,2.26239599656245e-09
2e-06,2.051371947421418e-09,2e-06,2.114628813358106e-09,2e-06,2.175136098878974e-09,2e-06,2.287077227547518e-09
2.02e-06,2.073278807822628e-09,2.02e-06,2.137159088621015e-09,2.02e-06,2.197872490414059e-09,2.02e-06,2.31041485476853e-09
2.04e-06,2.095650979259346e-09,2.04e-06,2.159474079718615e-09,2.04e-06,2.221026086111538e-09,2.04e-06,2.334508904398271e-09
2.06e-06,2.117525134202187e-09,2.06e-06,2.181818191497944e-09,2.06e-06,2.243541948545899e-09,2.06e-06,2.358341217254768e-09
2.08e-06,2.139350540364068e-09,2.08e-06,2.20433109595061e-09,2.08e-06,2.266552839721889e-09,2.08e-06,2.382177282307645e-09
2.1e-06,2.161237508213357e-09,2.1e-06,2.227077958064319e-09,2.1e-06,2.289760582283675e-09,2.1e-06,2.405316331960003e-09
2.12e-06,2.183250229850705e-09,2.12e-06,2.249761083259821e-09,2.12e-06,2.312390837062808e-09,2.12e-06,2.429615421513676e-09
2.14e-06,2.205008111959703e-09,2.14e-06,2.272006807089177e-09,2.14e-06,2.33515045083584e-09,2.14e-06,2.453183098785079e-09
2.16e-06,2.227075724863897e-09,2.16e-06,2.294299119254684e-09,2.16e-06,2.358326910472028e-09,2.16e-06,2.47675726993882e-09
2.18e-06,2.248835495763091e-09,2.18e-06,2.316335823073902e-09,2.18e-06,2.380812648808937e-09,2.18e-06,2.501025993643904e-09
2.2e-06,2.270795225751106e-09,2.2e-06,2.339289516796944e-09,2.2e-06,2.403701664805099e-09,2.2e-06,2.524331739118151e-09
2.22e-06,2.292775217050408e-09,2.22e-06,2.361230311944605e-09,2.22e-06,2.426481044837534e-09,2.22e-06,2.547840484390246e-09
2.24e-06,2.314465890746037e-09,2.24e-06,2.383721393778694e-09,2.24e-06,2.449271672766655e-09,2.24e-06,2.570894853008533e-09
2.26e-06,2.336335803072384e-09,2.26e-06,2.406011688293156e-09,2.26e-06,2.47209953644986e-09,2.26e-06,2.595061606363593e-09
2.28e-06,2.357438706237968e-09,2.28e-06,2.42756409546051e-09,2.28e-06,2.494194199360389e-09,2.28e-06,2.617384460746829e-09
2.3e-06,2.379101528670386e-09,2.3e-06,2.449814091530041e-09,2.3e-06,2.516816422376187e-09,2.3e-06,2.640931547515742e-09
2.32e-06,2.401064417536589e-09,2.32e-06,2.472295257935847e-09,2.32e-06,2.539546860005285e-09,2.32e-06,2.665001386430215e-09
2.34e-06,2.422773665543865e-09,2.34e-06,2.494364952014484e-09,2.34e-06,2.562205063064336e-09,2.34e-06,2.688579448951772e-09
2.36e-06,2.444787604178506e-09,2.36e-06,2.516932689706047e-09,2.36e-06,2.585284642399537e-09,2.36e-06,2.712381318893741e-09
2.38e-06,2.466411568141079e-09,2.38e-06,2.538952399991623e-09,2.38e-06,2.608049333018823e-09,2.38e-06,2.735829022849034e-09
2.4e-06,2.488322644193273e-09,2.4e-06,2.561382931052606e-09,2.4e-06,2.63105979028474e-09,2.4e-06,2.759551926323572e-09
2.42e-06,2.510025704143787e-09,2.42e-06,2.583774241170252e-09,2.42e-06,2.65344895614031e-09,2.42e-06,2.783130993210724e-09
2.44e-06,2.53191076565191e-09,2.44e-06,2.605876806378516e-09,2.44e-06,2.676455978180609e-09,2.44e-06,2.807220937098634e-09
2.46e-06,2.553587097292787e-09,2.46e-06,2.62839357417355e-09,2.46e-06,2.699217261787757e-09,2.46e-06,2.830425630524967e-09
2.48e-06,2.575598642846054e-09,2.48e-06,2.65080353787977e-09,2.48e-06,2.721645172341934e-09,2.48e-06,2.854264609171472e-09
2.5e-06,2.597078544074929e-09,2.5e-06,2.672913413733585e-09,2.5e-06,2.744689249305708e-09,2.5e-06,2.877559698741798e-09
2.52e-06,2.618999614793853e-09,2.52e-06,2.695247009892473e-09,2.52e-06,2.767035594896441e-09,2.52e-06,2.901477991954271e-09
2.54e-06,2.640865076583106e-09,2.54e-06,2.717708742088013e-09,2.54e-06,2.789769872779179e-09,2.54e-06,2.924866401303538e-09
2.56e-06,2.662973875050804e-09,2.56e-06,2.740039091634981e-09,2.56e-06,2.813048402783284e-09,2.56e-06,2.949154504969372e-09
2.58e-06,2.684617812193854e-09,2.58e-06,2.762148310372396e-09,2.58e-06,2.835088381365082e-09,2.58e-06,2.971793737538969e-09
2.6e-06,2.70635053502933e-09,2.6e-06,2.784462481869161e-09,2.6e-06,2.858393284956648e-09,2.6e-06,2.995744438820874e-09
2.62e-06,2.727994868345748e-09,2.62e-06,2.806777865304625e-09,2.62e-06,2.880449588927905e-09,2.62e-06,3.019155935128218e-09
2.64e-06,2.750229886463728e-09,2.64e-06,2.829165530212053e-09,2.64e-06,2.903919710783323e-09,2.64e-06,3.042612807854755e-09
2.66e-06,2.771769031468461e-09,2.66e-06,2.851252818641682e-09,2.66e-06,2.926388892558638e-09,2.66e-06,3.06601069727159e-09
