P_DTC_t (MC0=60) X,P_DTC_t (MC0=60) Y
1.040412065483646e-06,8.734244761281935e-05
1.040419531470506e-06,8.726605586292267e-05
1.040427541937454e-06,8.718197651804852e-05
1.040436149747141e-06,8.70954746009237e-05
1.040445416795286e-06,8.699912006271313e-05
1.040455411262315e-06,8.689869740485428e-05
1.040466209714633e-06,8.678686856735976e-05
1.040477897744416e-06,8.666932696813619e-05
1.040490570759946e-06,8.653858073017639e-05
1.0405e-06,8.644421774232406e-05
1.040507459116213e-06,8.636604241601882e-05
1.040516923811129e-06,8.627155817731437e-05
1.040526032909528e-06,8.61795594794984e-05
1.040544251106326e-06,8.599401048599038e-05
1.040580687499921e-06,8.562543213535737e-05
1.040653560287112e-06,8.488995869984735e-05
1.040799305861494e-06,8.34325755617393e-05
1.041090797010258e-06,8.055726322632552e-05
1.041673779307786e-06,7.495439302204074e-05
1.042839743902842e-06,6.450575020917831e-05
1.04308653821877e-06,6.3225826413594e-05
1.043278404585282e-06,6.349457484061959e-05
1.043439802505349e-06,6.489648707099282e-05
1.043619901033345e-06,6.661095356186514e-05
1.043783941853791e-06,7.462395404828381e-05
1.043841602205326e-06,9.982282141897191e-05
1.043858801454367e-06,0.0001077015501865868
1.043888746195427e-06,0.0001030180917012472
1.0438986973609e-06,9.911761219078754e-05
1.043904058899242e-06,9.74335038065012e-05
1.04390788956019e-06,9.639831337353043e-05
1.043912900666329e-06,9.519588632587494e-05
1.043916822738289e-06,9.432239296282182e-05
1.043920535382182e-06,9.350982051224641e-05
1.043924949808966e-06,9.253158963880054e-05
1.043929105542451e-06,9.158850705694494e-05
1.04393230098858e-06,9.085413723206441e-05
1.043935139352147e-06,9.021629280611721e-05
1.043936556738196e-06,8.990293920459864e-05
1.043939381248633e-06,8.927661286836405e-05
1.043942288274999e-06,8.861981564810562e-05
1.043947572163535e-06,8.736578112316486e-05
1.043954175692481e-06,8.564052036341857e-05
1.043967382750372e-06,8.106996396720064e-05
1.043983341011216e-06,7.2343826208973e-05
1.043999779846799e-06,6.274289214652246e-05
1.044015610563257e-06,5.511025290055098e-05
1.044031016261971e-06,4.917112008279737e-05
1.044061827659399e-06,4.098863344879007e-05
1.044097859978229e-06,3.565483426785872e-05
1.044159305037186e-06,3.176152506313964e-05
1.044234954088515e-06,3.010233069414266e-05
1.044357330572993e-06,2.906381379381872e-05
1.044500761553084e-06,2.853850370655751e-05
1.044684346803101e-06,2.832136762958356e-05
1.044924853995757e-06,2.834874753962328e-05
1.045152045005069e-06,2.840129053739268e-05
1.045200766278025e-06,2.841202529049599e-05
1.045225126914503e-06,2.841732396477742e-05
1.045247099655811e-06,2.842206648981389e-05
1.045258086026465e-06,2.842441986482429e-05
1.045265221576397e-06,2.842595408695678e-05
1.045272080742266e-06,2.842741580060184e-05
1.045279056265786e-06,2.842890755146531e-05
1.045287074414096e-06,2.843061611224126e-05
1.045290833677892e-06,2.84314624523383e-05
1.045293716875138e-06,2.843350078291498e-05
1.045294602205393e-06,2.843501987953925e-05
1.045295589906898e-06,2.843747777533784e-05
1.045296437441513e-06,2.844045157611172e-05
1.045297980875947e-06,2.844782147487736e-05
1.045299821937812e-06,2.845941170953189e-05
1.0453011883089e-06,2.846998769890452e-05
1.045302325603164e-06,2.848020737336199e-05
1.045303021239151e-06,2.848733745371112e-05
1.045303716875138e-06,2.849460860635248e-05
1.04530397743709e-06,2.849743675575707e-05
1.045304354589909e-06,2.850162311953259e-05
1.045304705753947e-06,2.850571155988455e-05
1.045305381058809e-06,2.851418296196516e-05
1.045306302195005e-06,2.852707460071766e-05
1.045307283075799e-06,2.85418716284772e-05
1.045308146828391e-06,2.855746156092353e-05
1.045309058531675e-06,2.85786636511422e-05
1.045310152513497e-06,2.861835628554833e-05
1.04531108136051e-06,2.868166789010551e-05
1.045311952290275e-06,2.879769405122129e-05
1.045312917301407e-06,2.905800580212377e-05
1.045313620639643e-06,2.940172625509738e-05
1.045314347264096e-06,2.996993554147665e-05
1.045315311115099e-06,3.121375255245164e-05
1.045316359846343e-06,3.350822822914287e-05
1.045317385483332e-06,3.714718958505604e-05
1.045318410778982e-06,4.261991372899602e-05
1.0453193093822e-06,4.898970046559793e-05
1.04531998076679e-06,5.438847689651075e-05
1.04532075455992e-06,6.080364730666538e-05
1.045321450967188e-06,6.627498723919688e-05
1.045322333076257e-06,7.21163320572843e-05
1.045323443005926e-06,7.686417853681821e-05
1.045324476823756e-06,7.826704763931633e-05
1.045325597452263e-06,7.821971458523973e-05
1.045326955470086e-06,9.878935865504411e-05
1.045328208938002e-06,0.0001549090622865421
1.045329391771254e-06,0.0002177278238406688
1.045330718676455e-06,0.0002714751623235322
1.045332081570034e-06,0.000297663959338911
1.045333533067197e-06,0.0003119766938533821
1.045334935010053e-06,0.0003099259146073196
1.045336301384936e-06,0.0002961458555683934
1.045337258100924e-06,0.0002862508370483965
1.045338432461065e-06,0.0002804883606365095
