P_inst (k_TG=3) X,P_inst (k_TG=3) Y
3.550851070423375e-08,-3.388865077260572e-05
3.551721279542559e-08,-3.343025617570113e-05
3.552614444656485e-08,-3.305271633979494e-05
3.554183832973552e-08,-3.207046256644892e-05
3.557029595143082e-08,-3.015360900821187e-05
3.560523628486275e-08,-2.756515629500406e-05
3.564552117577268e-08,-2.476842751603632e-05
3.569692772656698e-08,-2.142886337343253e-05
3.576711793481379e-08,-1.757855569040225e-05
3.590183044278887e-08,-1.183224080780142e-05
3.611026351049815e-08,-6.456368160894563e-06
3.64194611768219e-08,-2.784333902048048e-06
3.650839444970075e-08,-2.3977914223714e-06
3.668626099545844e-08,-1.759347335176771e-06
3.704199408697383e-08,-1.307619470838014e-06
3.775145279823969e-08,-1.065687792739415e-06
3.872694444186774e-08,-1.140336190568353e-06
4e-08,-1.075217881179785e-06
4.003125e-08,-1.224519166518715e-06
4.008303952919141e-08,-1.23081148489762e-06
4.018661858757422e-08,-1.447883214940594e-06
4.022579126412744e-08,-2.704579004616742e-06
4.024120189884643e-08,-3.435007335366875e-06
4.025459487145744e-08,-4.070594706967255e-06
4.026776596666259e-08,-4.569716109322572e-06
4.027236753330685e-08,-4.841712608984131e-06
4.028157066659535e-08,-5.63855330469004e-06
4.02882402266868e-08,-6.840328445273865e-06
4.029382571359006e-08,-9.057365985742939e-06
4.02967672405994e-08,-1.535210969449911e-05
4.029878046879829e-08,-1.954143074382378e-05
4.030120538046706e-08,-2.796558691781793e-05
4.030328726352928e-08,-3.214970466231912e-05
4.030618722494526e-08,-4.472590874211974e-05
4.030726380246643e-08,-5.055836381068496e-05
4.030809396866723e-08,-5.208372298905751e-05
4.030893912596855e-08,-5.250830575459907e-05
4.031013839378112e-08,-4.959225478811507e-05
4.03111835147816e-08,-4.433381406954915e-05
4.031211720016971e-08,-3.730744077499598e-05
4.031286176450331e-08,-3.067581413973006e-05
4.03136762241452e-08,-2.202461157334431e-05
4.031466468499932e-08,-1.565203112734681e-05
4.031558135019893e-08,-1.103898570132814e-05
4.031642944362569e-08,-9.219448788623025e-06
