P_inst (Vbp=1.1) X,P_inst (Vbp=1.1) Y,P_inst (Vbp=1.2) X,P_inst (Vbp=1.2) Y,P_inst (Vbp=1.3) X,P_inst (Vbp=1.3) Y,P_inst (Vbp=1.5) X,P_inst (Vbp=1.5) Y
1.010367079480575e-06,0.0003943320302454679,1.010367868239254e-06,0.0004063483661133048,1.010373083737443e-06,0.0004397806532266169,1.010444821625667e-06,0.0003562630096201647
1.010369647648545e-06,0.000407952336667154,1.01037003669582e-06,0.0004181174507541074,1.01037582581054e-06,0.0004478468289330612,1.010461890998865e-06,0.0003595339479343541
1.010372263489145e-06,0.0004194775270985309,1.010372637528296e-06,0.0004296385781574302,1.01037970896506e-06,0.0004534734612389927,1.010475911760443e-06,0.0003830495588782432
1.010374811916573e-06,0.0004275262917968032,1.010375246397677e-06,0.0004377722668565812,1.010385207873291e-06,0.000452679884441018,1.010487955880222e-06,0.0003913123303336041
1.010377947511781e-06,0.0004332867930595629,1.010378736695925e-06,0.0004437053651122818,1.010392083966798e-06,0.0004432579175415892,1.0105e-06,0.0003738706948441801
1.010382518174006e-06,0.0004352374608743703,1.010383611832716e-06,0.0004446767835161469,1.010399929608194e-06,0.0004274170872786253,1.010505173876033e-06,0.0003608258053909192
1.010389014623824e-06,0.0004292771907214471,1.010390245330203e-06,0.0004373608048211158,1.010409242976095e-06,0.0004066232725511469,1.010514554352332e-06,0.0003376662565515993
1.010395991790126e-06,0.0004169011611863964,1.010397521875684e-06,0.0004236691339208342,1.010421612558123e-06,0.0003789894228406605,1.010523641101644e-06,0.0003247702905921425
1.010404233918861e-06,0.0003994241684812699,1.010406189320474e-06,0.0004048019941047748,1.010439634534954e-06,0.0003452187029019401,1.010528315356656e-06,0.0003208889141762257
1.01041428448764e-06,0.0003771846786291363,1.010417023918784e-06,0.0003805943815502277,1.010469293716096e-06,0.0003506758225823067,1.010533200359614e-06,0.0003083963635704559
1.010428544326021e-06,0.0003468906579963963,1.010432624472962e-06,0.0003482895394225551,1.010484646858048e-06,0.0003740552571079968,1.010537924648911e-06,0.0002859900509241426
1.010449777933079e-06,0.0003166791921028357,1.010456576907946e-06,0.0003262072466003642,1.010492323429024e-06,0.0003720769033815354,1.010541733253031e-06,0.0002680666098853452
1.010474888966539e-06,0.000338430714539619,1.010478288453973e-06,0.0003561098982177972,1.0105e-06,0.0003602338232849893,1.010545628430491e-06,0.0002493430156637829
